# p ,r
6.200199700669096441e-06 8.400168003360067390e-04
6.498615647207275347e-06 8.600172003440069305e-04
6.804028711992691337e-06 8.800176003520071219e-04
7.116437773585236105e-06 9.000180003600072049e-04
7.435841710789232187e-06 9.200184003680073963e-04
7.762239402042355436e-06 9.400188003760075878e-04
8.095629727004431664e-06 9.600192003840076708e-04
8.436011564357565021e-06 9.800196003920079706e-04
8.783383793639364630e-06 1.000020000400008054e-03
9.137745293898581322e-06 1.020020400408008137e-03
9.499094944795035826e-06 1.040020800416008437e-03
9.867431625621910662e-06 1.060021200424008520e-03
1.024275421701674144e-05 1.080021600432008603e-03
1.062506159815049569e-05 1.100022000440008902e-03
1.101435264953849402e-05 1.120022400448008985e-03
1.141062625096277725e-05 1.140022800456009068e-03
1.181388128306088267e-05 1.160023200464009368e-03
1.222411662585927432e-05 1.180023600472009451e-03
1.264133116048435287e-05 1.200024000480009751e-03
1.306552376745143894e-05 1.220024400488009834e-03
1.349669332764250152e-05 1.240024800496009917e-03
1.393483872193950791e-05 1.260025200504010217e-03
1.437995883171328371e-05 1.280025600512010300e-03
1.483205253772358291e-05 1.300026000520010383e-03
1.529111872183008599e-05 1.320026400528010683e-03
1.575715626564805024e-05 1.340026800536010766e-03
1.623016405054830124e-05 1.360027200544010849e-03
1.671014095839052288e-05 1.380027600552011149e-03
1.719708587115660893e-05 1.400028000560011232e-03
1.769099767095067666e-05 1.420028400568011532e-03
1.819187523963240657e-05 1.440028800576011615e-03
1.869971746003920248e-05 1.460029200584011698e-03
1.921452321451959811e-05 1.480029600592011997e-03
1.973629138566657069e-05 1.500030000600012080e-03
2.026502085607308391e-05 1.520030400608012163e-03
2.080071050869875831e-05 1.540030800616012463e-03
2.134335922625877764e-05 1.560031200624012546e-03
2.189296589244603888e-05 1.580031600632012629e-03
2.244952939034237246e-05 1.600032000640012929e-03
2.301304860315181875e-05 1.620032400648013012e-03
2.358352241481171147e-05 1.640032800656013095e-03
2.416094970864830768e-05 1.660033200664013395e-03
2.474532936823229103e-05 1.680033600672013478e-03
2.533666027823427844e-05 1.700034000680013778e-03
2.593494132234717365e-05 1.720034400688013861e-03
2.654017138475273021e-05 1.740034800696013944e-03
2.715234934987713843e-05 1.760035200704014244e-03
2.777147410214658865e-05 1.780035600712014327e-03
2.839754452610947769e-05 1.800036000720014410e-03
2.903055950668085588e-05 1.820036400728014710e-03
2.967051792877576334e-05 1.840036800736014793e-03
3.031741867743146707e-05 1.860037200744014876e-03
3.097126063756300382e-05 1.880037600752015176e-03
3.163204269469650396e-05 1.900038000760015259e-03
3.229976373386921415e-05 1.920038400768015342e-03
3.297442264121833465e-05 1.940038800776015641e-03
3.365601830214776558e-05 1.960039200784015941e-03
3.434454960230583367e-05 1.980039600792015807e-03
3.504001542795195587e-05 2.000040000800016107e-03
3.574241466497887873e-05 2.020040400808016407e-03
3.645174619976823590e-05 2.040040800816016273e-03
3.716800891833499739e-05 2.060041200824016573e-03
3.789120170754963651e-05 2.080041600832016873e-03
3.862132345403820671e-05 2.100042000840016739e-03
3.935837304430454478e-05 2.120042400848017039e-03
4.010234936546354384e-05 2.140042800856017339e-03
4.085325130438569751e-05 2.160043200864017205e-03
4.161107774806368901e-05 2.180043600872017505e-03
4.237582758446792829e-05 2.200044000880017805e-03
4.314749970046888864e-05 2.220044400888017671e-03
4.392609298367033672e-05 2.240044800896017971e-03
4.471160632204267571e-05 2.260045200904018271e-03
4.550403860306746913e-05 2.280045600912018137e-03
4.630338871459289669e-05 2.300046000920018437e-03
4.710965554532266171e-05 2.320046400928018736e-03
4.792283798310494389e-05 2.340046800936019036e-03
4.874293491652124342e-05 2.360047200944018903e-03
4.956994523378637651e-05 2.380047600952019202e-03
5.040386782360405327e-05 2.400048000960019502e-03
5.124470157467796345e-05 2.420048400968019368e-03
5.209244537607844012e-05 2.440048800976019668e-03
5.294709811687582310e-05 2.460049200984019968e-03
5.380865868614045222e-05 2.480049600992019834e-03
5.467712597318710071e-05 2.500050001000020134e-03
5.555249886733052821e-05 2.520050401008020434e-03
5.643477625812992778e-05 2.540050801016020300e-03
5.732395703563335920e-05 2.560051201024020600e-03
5.822004008940001552e-05 2.580051601032020900e-03
5.912302430947795654e-05 2.600052001040020766e-03
6.003290858579301181e-05 2.620052401048021066e-03
6.094969180875988444e-05 2.640052801056021366e-03
6.187337286879327750e-05 2.660053201064021232e-03
6.280395065594123047e-05 2.680053601072021532e-03
6.374142406147394972e-05 2.700054001080021832e-03
6.468579197592835503e-05 2.720054401088021698e-03
6.563705329008577246e-05 2.740054801096021998e-03
6.659520689521640838e-05 2.760055201104022297e-03
6.756025168222381909e-05 2.780055601112022164e-03
6.853218654213377758e-05 2.800056001120022463e-03
6.951101036707196638e-05 2.820056401128022763e-03
7.049672204843082212e-05 2.840056801136023063e-03
7.148932047772495744e-05 2.860057201144022929e-03
7.248880454671344546e-05 2.880057601152023229e-03
7.349517314752195517e-05 2.900058001160023529e-03
7.450842517190957325e-05 2.920058401168023395e-03
7.552855951273528240e-05 2.940058801176023695e-03
7.655557506212476513e-05 2.960059201184023995e-03
7.758947071244816449e-05 2.980059601192023861e-03
7.863024535632002977e-05 3.000060001200024161e-03
7.967789788647715408e-05 3.020060401208024461e-03
8.073242719590070966e-05 3.040060801216024327e-03
8.179383217781635638e-05 3.060061201224024627e-03
8.286211172520526651e-05 3.080061601232024927e-03
8.393726473129308635e-05 3.100062001240024793e-03
8.501929008967209871e-05 3.120062401248025093e-03
8.610818669381234262e-05 3.140062801256025393e-03
8.720395343718389777e-05 3.160063201264025259e-03
8.830658921411230645e-05 3.180063601272025559e-03
8.941609291831206818e-05 3.200064001280025858e-03
9.053246344374210228e-05 3.220064401288025725e-03
9.165569968509460115e-05 3.240064801296026024e-03
9.278580053608406427e-05 3.260065201304026324e-03
9.392276489164713097e-05 3.280065601312026190e-03
9.506659164598712684e-05 3.300066001320026490e-03
9.621727969452955795e-05 3.320066401328026790e-03
9.737482793184439999e-05 3.340066801336027090e-03
9.853923525274608912e-05 3.360067201344026956e-03
9.971050055266011784e-05 3.380067601352027256e-03
1.008886227267675317e-04 3.400068001360027556e-03
1.020736006703716067e-04 3.420068401368027422e-03
1.032654332793867154e-04 3.440068801376027722e-03
