# p ,r
1.461760526052077242e-05 2.380047600952019202e-03
1.486391602418011796e-05 2.400048000960019502e-03
1.511227805474746035e-05 2.420048400968019368e-03
1.536269118831980164e-05 2.440048800976019668e-03
1.561515526215722513e-05 2.460049200984019968e-03
1.586967011010016764e-05 2.480049600992019834e-03
1.612623556943116395e-05 2.500050001000020134e-03
1.638485147745745506e-05 2.520050401008020434e-03
1.664551766805988804e-05 2.540050801016020300e-03
1.690823397856815706e-05 2.560051201024020600e-03
1.717300024518703556e-05 2.580051601032020900e-03
1.743981630528214206e-05 2.600052001040020766e-03
1.770868199278372260e-05 2.620052401048021066e-03
1.797959714508658106e-05 2.640052801056021366e-03
1.825256159960348862e-05 2.660053201064021232e-03
1.852757519030960099e-05 2.680053601072021532e-03
1.880463775464237864e-05 2.700054001080021832e-03
1.908374912891438164e-05 2.720054401088021698e-03
1.936490915058552363e-05 2.740054801096021998e-03
1.964811765369383386e-05 2.760055201104022297e-03
1.993337447573740006e-05 2.780055601112022164e-03
2.022067945423003426e-05 2.800056001120022463e-03
2.051003242325017258e-05 2.820056401128022763e-03
2.080143322034081241e-05 2.840056801136023063e-03
2.109488168306067549e-05 2.860057201144022929e-03
2.139037764552636524e-05 2.880057601152023229e-03
2.168792094533028141e-05 2.900058001160023529e-03
2.198751141892418546e-05 2.920058401168023395e-03
2.228914890392068058e-05 2.940058801176023695e-03
2.259283323450373980e-05 2.960059201184023995e-03
2.289856424831964433e-05 2.980059601192023861e-03
2.320634178302366071e-05 3.000060001200024161e-03
2.351616567284466828e-05 3.020060401208024461e-03
2.382803575547385116e-05 3.040060801216024327e-03
2.414195186746177213e-05 3.060061201224024627e-03
2.445791384653105716e-05 3.080061601232024927e-03
2.477592152696447044e-05 3.100062001240024793e-03
2.509597474650484479e-05 3.120062401248025093e-03
2.541807334292195880e-05 3.140062801256025393e-03
2.574221715054123664e-05 3.160063201264025259e-03
2.606840600715491007e-05 3.180063601272025559e-03
2.639663974941907200e-05 3.200064001280025858e-03
2.672691821515962884e-05 3.220064401288025725e-03
2.705924123875814270e-05 3.240064801296026024e-03
2.739360865806746579e-05 3.260065201304026324e-03
2.773002031095168538e-05 3.280065601312026190e-03
2.806847603184399871e-05 3.300066001320026490e-03
2.840897565863543546e-05 3.320066401328026790e-03
2.875151902808986164e-05 3.340066801336027090e-03
2.909610597812973184e-05 3.360067201344026956e-03
2.944273634324214172e-05 3.380067601352027256e-03
2.979140996138547701e-05 3.400068001360027556e-03
3.014212667052261612e-05 3.420068401368027422e-03
3.049488630519004350e-05 3.440068801376027722e-03
3.084968870338207264e-05 3.460069201384028022e-03
3.120653370311321707e-05 3.480069601392027888e-03
3.156542113896039519e-05 3.500070001400028188e-03
3.192635084896056693e-05 3.520070401408028488e-03
3.228932267003028442e-05 3.540070801416028354e-03
3.265433644022897768e-05 3.560071201424028654e-03
3.302139199419642173e-05 3.580071601432028953e-03
3.339048917003468959e-05 3.600072001440028820e-03
3.376162780585486672e-05 3.620072401448029119e-03
3.413480773633489207e-05 3.640072801456029419e-03
3.451002879962850088e-05 3.660073201464029286e-03
3.488729083272857316e-05 3.680073601472029585e-03
3.526659367382252219e-05 3.700074001480029885e-03
3.564793715763994237e-05 3.720074401488029751e-03
3.603132112238620409e-05 3.740074801496030051e-03
3.641674540627341333e-05 3.760075201504030351e-03
3.680420984409177819e-05 3.780075601512030217e-03
3.719371427408036740e-05 3.800076001520030517e-03
3.758525853335105893e-05 3.820076401528030817e-03
3.797884246018557131e-05 3.840076801536030683e-03
3.837446588941453304e-05 3.860077201544030983e-03
3.877212865934884803e-05 3.880077601552031283e-03
3.917183060830391964e-05 3.900078001560031583e-03
3.957357157116874033e-05 3.920078401568031883e-03
3.997735138628789880e-05 3.940078801576031749e-03
4.038316989087433422e-05 3.960079201584031615e-03
4.079102692330181389e-05 3.980079601592032348e-03
4.120092231852446371e-05 4.000080001600032215e-03
4.161285591494075724e-05 4.020080401608032081e-03
4.202682755097161105e-05 4.040080801616032814e-03
4.244283706160707878e-05 4.060081201624032680e-03
4.286088428529503296e-05 4.080081601632032547e-03
4.328096906049681055e-05 4.100082001640033280e-03
4.370309122225185739e-05 4.120082401648033146e-03
4.412725060904845964e-05 4.140082801656033012e-03
4.455344705824324712e-05 4.160083201664033746e-03
4.498168040836942585e-05 4.180083601672033612e-03
4.541195049450684175e-05 4.200084001680033478e-03
4.584425715521115059e-05 4.220084401688034212e-03
4.627860022904248049e-05 4.240084801696034078e-03
4.671497955114356786e-05 4.260085201704033944e-03
4.715339496010598268e-05 4.280085601712034678e-03
4.759384629339863068e-05 4.300086001720034544e-03
4.803633338963103893e-05 4.320086401728034410e-03
4.848085608400881403e-05 4.340086801736035144e-03
4.892741421517740402e-05 4.360087201744035010e-03
4.937600762180922647e-05 4.380087601752034876e-03
4.982663613913681686e-05 4.400088001760035609e-03
5.027929960585952841e-05 4.420088401768035476e-03
5.073399785954505121e-05 4.440088801776035342e-03
5.119073073891518825e-05 4.460089201784036075e-03
5.164949807926086606e-05 4.480089601792035942e-03
5.211029971935327303e-05 4.500090001800035808e-03
5.257313549793667546e-05 4.520090401808036541e-03
5.303800525037384860e-05 4.540090801816036407e-03
5.350490881545393794e-05 4.560091201824036274e-03
5.397384603198407995e-05 4.580091601832037007e-03
5.444481673535847820e-05 4.600092001840036873e-03
5.491782076440671892e-05 4.620092401848037607e-03
5.539285795685814674e-05 4.640092801856037473e-03
5.586992815156480445e-05 4.660093201864037339e-03
5.634903118397478723e-05 4.680093601872038073e-03
5.683016689299400914e-05 4.700094001880037939e-03
5.731333511752839102e-05 4.720094401888037805e-03
5.779853569306644847e-05 4.740094801896038539e-03
5.828576845855450920e-05 4.760095201904038405e-03
5.877503325179828634e-05 4.780095601912038271e-03
5.926632991177553590e-05 4.800096001920039004e-03
5.975965827402867188e-05 4.820096401928038871e-03
6.025501817755791361e-05 4.840096801936038737e-03
6.075240946138144428e-05 4.860097201944039470e-03
6.125183196108657064e-05 4.880097601952039336e-03
6.175328551572291098e-05 4.900098001960039203e-03
6.225676996318599103e-05 4.920098401968039936e-03
6.276228514257930038e-05 4.940098801976039802e-03
6.326983088952609384e-05 4.960099201984039669e-03
6.377940704312538866e-05 4.980099601992040402e-03
6.429101344251660218e-05 5.000100002000040268e-03
6.480464992337686052e-05 5.020100402008040134e-03
6.532031632485009399e-05 5.040100802016040868e-03
6.583801248496204102e-05 5.060101202024040734e-03
6.635773824287908846e-05 5.080101602032040600e-03
6.687949343434571850e-05 5.100102002040041334e-03
6.740327789858218928e-05 5.120102402048041200e-03
6.792909147479530131e-05 5.140102802056041066e-03
6.845693399877443629e-05 5.160103202064041800e-03
6.898680530978027955e-05 5.180103602072041666e-03
6.951870524706901702e-05 5.200104002080041532e-03
7.005263364647045757e-05 5.220104402088042266e-03
7.058859034728122786e-05 5.240104802096042132e-03
7.112657518766625075e-05 5.260105202104041998e-03
7.166658800693112466e-05 5.280105602112042731e-03
7.220862864099099874e-05 5.300106002120042598e-03
7.275269692917838674e-05 5.320106402128042464e-03
7.329879271086174369e-05 5.340106802136043197e-03
7.384691582198316118e-05 5.360107202144043063e-03
7.439706610192903778e-05 5.380107602152042930e-03
7.494924338895863551e-05 5.400108002160043663e-03
7.550344752250779258e-05 5.420108402168043529e-03
7.605967833855448764e-05 5.440108802176043395e-03
7.661793567655701546e-05 5.460109202184044129e-03
7.717821937598708776e-05 5.480109602192043995e-03
7.774052927287660873e-05 5.500110002200043861e-03
7.830486520671528787e-05 5.520110402208044595e-03
7.887122701587464277e-05 5.540110802216044461e-03
7.943961453987581124e-05 5.560111202224044327e-03
8.001002761481356763e-05 5.580111602232045061e-03
8.058246608023597862e-05 5.600112002240044927e-03
8.115692977572257986e-05 5.620112402248044793e-03
8.173341853739954691e-05 5.640112802256045527e-03
8.231193220487334429e-05 5.660113202264045393e-03
8.289247061659634397e-05 5.680113602272046126e-03
8.347503361220642523e-05 5.700114002280045992e-03
8.405962102789267445e-05 5.720114402288045859e-03
8.464623270331094157e-05 5.740114802296046592e-03
8.523486847813054772e-05 5.760115202304046458e-03
8.582552818859445060e-05 5.780115602312046325e-03
8.641821167438545610e-05 5.800116002320047058e-03
8.701291877524474088e-05 5.820116402328046924e-03
8.760964932742424792e-05 5.840116802336046790e-03
8.820840317068311099e-05 5.860117202344047524e-03
8.880918014362638481e-05 5.880117602352047390e-03
8.941198008602667434e-05 5.900118002360047256e-03
9.001680283421674986e-05 5.920118402368047990e-03
9.062364822800067173e-05 5.940118802376047856e-03
9.123251610720044388e-05 5.960119202384047722e-03
9.184340630818026488e-05 5.980119602392048456e-03
9.245631867079807996e-05 6.000120002400048322e-03
9.307125303376221411e-05 6.020120402408048188e-03
9.368820923693959787e-05 6.040120802416048922e-03
9.430718711677524356e-05 6.060121202424048788e-03
9.492818651316303768e-05 6.080121602432048654e-03
9.555120726602378209e-05 6.100122002440049387e-03
9.617624921184291626e-05 6.120122402448049254e-03
9.680331219056371214e-05 6.140122802456049120e-03
9.743239604098880675e-05 6.160123202464049853e-03
9.806350060310637154e-05 6.180123602472049719e-03
9.869662571344224610e-05 6.200124002480049586e-03
9.933177121200707197e-05 6.220124402488050319e-03
9.996893693881597656e-05 6.240124802496050185e-03
1.006081227304576696e-04 6.260125202504050052e-03
1.012493284269652222e-04 6.280125602512050785e-03
1.018925538672625528e-04 6.300126002520050651e-03
1.025377988914231189e-04 6.320126402528050517e-03
1.031850633360805705e-04 6.340126802536051251e-03
1.038343470413443200e-04 6.360127202544051117e-03
1.044856498473283063e-04 6.380127602552050983e-03
1.051389715907200098e-04 6.400128002560051717e-03
1.057943121116737968e-04 6.420128402568051583e-03
1.064516712503394796e-04 6.440128802576051449e-03
1.071110488434405208e-04 6.460129202584052183e-03
1.077724447311851307e-04 6.480129602592052049e-03
1.084358587526184281e-04 6.500130002600051915e-03
1.091012907479531362e-04 6.520130402608052649e-03
1.097687405539845461e-04 6.540130802616052515e-03
1.104382080109612952e-04 6.560131202624052381e-03
1.111096929591364932e-04 6.580131602632053114e-03
1.117831952353413725e-04 6.600132002640052981e-03
1.124587146798784553e-04 6.620132402648052847e-03
1.131362511318781872e-04 6.640132802656053580e-03
1.138158044316925029e-04 6.660133202664053446e-03
1.144973744161795502e-04 6.680133602672054180e-03
1.151809609257092209e-04 6.700134002680054046e-03
1.158665638006334226e-04 6.720134402688053912e-03
1.165541828778821857e-04 6.740134802696054646e-03
1.172438179978478313e-04 6.760135202704054512e-03
1.179354689997910585e-04 6.780135602712054378e-03
1.186291357241221457e-04 6.800136002720055112e-03
1.193248180078384927e-04 6.820136402728054978e-03
1.200225156913907915e-04 6.840136802736054844e-03
1.207222286152297613e-04 6.860137202744055578e-03
1.214239566163976880e-04 6.880137602752055444e-03
1.221276995353857042e-04 6.900138002760055310e-03
1.228334572115398222e-04 6.920138402768056043e-03
1.235412294853960335e-04 6.940138802776055910e-03
1.242510161940326330e-04 6.960139202784055776e-03
1.249628171780035424e-04 6.980139602792056509e-03
1.256766322778762358e-04 7.000140002800056375e-03
1.263924613307693947e-04 7.020140402808056242e-03
1.271103041772818809e-04 7.040140802816056975e-03
1.278301606580305812e-04 7.060141202824056841e-03
1.285520306101835080e-04 7.080141602832056708e-03
1.292759138743665198e-04 7.100142002840057441e-03
1.300018102900962552e-04 7.120142402848057307e-03
