#r        v         
0         0         
0.600492  39.8534   
1.20098   69.0373   
1.80148   94.9465   
2.40197   116.856   
3.00246   136.612   
3.60295   151.771   
4.20344   161.981   
4.80394   171.408   
5.40443   178.521   
6.00492   184.762   
6.60541   193.476   
7.2059    204.492   
7.8064    215.808   
8.40689   223.08    
9.00738   226.459   
9.60787   230.76    
10.2084   237.723   
10.8089   247.317   
11.4093   258.282   
12.0098   266.507   
12.6103   272.142   
13.2108   277.31    
13.8113   285.656   
14.4118   292.695   
15.0123   294.36    
15.6128   293.974   
16.2133   292.252   
16.8138   289.946   
17.4143   287.846   
18.0148   286.778   
18.6153   286.47    
19.2157   286.457   
19.8162   285.64    
20.4167   284.309   
21.0172   283.051   
21.6177   282.393   
22.2182   282.07    
22.8187   281.523   
23.4192   281       
24.0197   280.398   
24.6202   279.624   
25.2207   278.968   
25.8212   278.533   
26.4216   277.974   
27.0221   277.121   
27.6226   276.102   
28.2231   275.035   
28.8236   273.98    
29.4241   272.986   
30.0246   272.127   
30.6251   271.509   
31.2256   271.212   
31.8261   271.14    
32.4266   271.031   
33.0271   270.712   
33.6276   270.197   
34.228    269.597   
34.8285   269.073   
35.429    268.882   
36.0295   269.323   
36.63     270.208   
37.2305   270.85    
37.831    271.07    
38.4315   271.004   
39.032    270.751   
39.6325   270.374   
40.233    269.914   
40.8335   269.408   
41.4339   268.876   
42.0344   268.335   
42.6349   267.821   
43.2354   267.384   
43.8359   267.005   
44.4364   266.568   
45.0369   265.987   
45.6374   265.288   
46.2379   264.643   
46.8384   264.558   
47.4389   265.812   
48.0394   267.337   
48.6399   267.945   
49.2403   268.216   
49.8408   268.296   
50.4413   267.964   
51.0418   267.104   
51.6423   265.821   
52.2428   264.302   
52.8433   262.69    
53.4438   261.065   
54.0443   259.466   
54.6448   257.905   
55.2453   256.385   
55.8458   254.907   
56.4462   253.465   
57.0467   252.058   
57.6472   250.683   
58.2477   249.336   
58.8482   248.016   
59.4487   246.72    
