#r        v         
0         0         
0.600492  44.0765   
1.20098   68.1485   
1.80148   91.3383   
2.40197   111.976   
3.00246   129.857   
3.60295   145.243   
4.20344   157.193   
4.80394   166.379   
5.40443   173.894   
6.00492   181.101   
6.60541   189.54    
7.2059    197.037   
7.8064    201.94    
8.40689   204.601   
9.00738   207.298   
9.60787   212.159   
10.2084   220.642   
10.8089   233.193   
11.4093   245.454   
12.0098   261.86    
12.6103   279.695   
13.2108   292.945   
13.8113   301.214   
14.4118   303.848   
15.0123   303.813   
15.6128   302.318   
16.2133   299.015   
16.8138   294.838   
17.4143   290.671   
18.0148   287.046   
18.6153   284.369   
19.2157   282.827   
19.8162   281.981   
20.4167   281.171   
21.0172   280.434   
21.6177   280.118   
22.2182   279.839   
22.8187   279.244   
23.4192   278.686   
24.0197   278.348   
24.6202   277.993   
25.2207   277.304   
25.8212   276.213   
26.4216   274.847   
27.0221   273.347   
27.6226   271.801   
28.2231   270.246   
28.8236   268.709   
29.4241   267.28    
30.0246   266.324   
30.6251   266.842   
31.2256   269.017   
31.8261   269.926   
32.4266   269.367   
33.0271   268.378   
33.6276   267.397   
34.228    266.578   
34.8285   266.079   
35.429    266.271   
36.0295   267.635   
36.63     269.596   
37.2305   270.648   
37.831    270.617   
38.4315   270.044   
39.032    269.257   
39.6325   268.374   
40.233    267.439   
40.8335   266.504   
41.4339   265.668   
42.0344   265.056   
42.6349   264.727   
43.2354   264.621   
43.8359   264.717   
44.4364   265.114   
45.0369   265.612   
45.6374   265.647   
46.2379   265.171   
46.8384   265.343   
47.4389   267.982   
48.0394   270.622   
48.6399   270.632   
49.2403   269.7     
49.8408   268.863   
50.4413   268.042   
51.0418   266.892   
51.6423   265.359   
52.2428   263.602   
52.8433   261.778   
53.4438   259.975   
54.0443   258.23    
54.6448   256.553   
55.2453   254.942   
55.8458   253.391   
56.4462   251.893   
57.0467   250.441   
57.6472   249.031   
58.2477   247.657   
58.8482   246.317   
59.4487   245.008   
