#r        v         
0         0         
0.600492  43.1298   
1.20098   68.108    
1.80148   92.3181   
2.40197   113.474   
3.00246   132.522   
3.60295   149.335   
4.20344   162.203   
4.80394   172.494   
5.40443   180.937   
6.00492   188.398   
6.60541   195.369   
7.2059    201.976   
7.8064    205.695   
8.40689   208.013   
9.00738   210.131   
9.60787   212.713   
10.2084   216.627   
10.8089   223.824   
11.4093   236.467   
12.0098   251.854   
12.6103   267.435   
13.2108   281.611   
13.8113   294.295   
14.4118   301.49    
15.0123   304.169   
15.6128   303.29    
16.2133   299.891   
16.8138   295.472   
17.4143   291.082   
18.0148   287.285   
18.6153   284.484   
19.2157   282.858   
19.8162   281.955   
20.4167   281.107   
21.0172   280.346   
21.6177   280.015   
22.2182   279.728   
22.8187   279.13    
23.4192   278.572   
24.0197   278.235   
24.6202   277.883   
25.2207   277.199   
25.8212   276.112   
26.4216   274.751   
27.0221   273.256   
27.6226   271.715   
28.2231   270.165   
28.8236   268.633   
29.4241   267.209   
30.0246   266.258   
30.6251   266.78    
31.2256   268.96    
31.8261   269.873   
32.4266   269.317   
33.0271   268.332   
33.6276   267.355   
34.228    266.538   
34.8285   266.042   
35.429    266.237   
36.0295   267.603   
36.63     269.567   
37.2305   270.621   
37.831    270.593   
38.4315   270.021   
39.032    269.235   
39.6325   268.354   
40.233    267.421   
40.8335   266.487   
41.4339   265.652   
42.0344   265.041   
42.6349   264.713   
43.2354   264.608   
43.8359   264.706   
44.4364   265.104   
45.0369   265.602   
45.6374   265.638   
46.2379   265.162   
46.8384   265.336   
47.4389   267.976   
48.0394   270.616   
48.6399   270.627   
49.2403   269.695   
49.8408   268.858   
50.4413   268.038   
51.0418   266.888   
51.6423   265.356   
52.2428   263.599   
52.8433   261.775   
53.4438   259.972   
54.0443   258.228   
54.6448   256.552   
55.2453   254.941   
55.8458   253.39    
56.4462   251.892   
57.0467   250.441   
57.6472   249.03    
58.2477   247.657   
58.8482   246.318   
59.4487   245.009   
