#r        v         
0         0         
0.600492  45.678    
1.20098   73.2557   
1.80148   97.2331   
2.40197   114.951   
3.00246   130.728   
3.60295   147.427   
4.20344   165.23    
4.80394   178.395   
5.40443   188.009   
6.00492   196.606   
6.60541   203.946   
7.2059    209.788   
7.8064    213.171   
8.40689   215.823   
9.00738   218.877   
9.60787   222.437   
10.2084   224.801   
10.8089   226.087   
11.4093   229.603   
12.0098   237.056   
12.6103   243.479   
13.2108   248.255   
13.8113   255.625   
14.4118   263.158   
15.0123   272.813   
15.6128   282.583   
16.2133   290.503   
16.8138   299.027   
17.4143   307.932   
18.0148   312.417   
18.6153   310.884   
19.2157   307.079   
19.8162   302.709   
20.4167   298.501   
21.0172   294.873   
21.6177   292.186   
22.2182   290.002   
22.8187   287.884   
23.4192   286.089   
24.0197   284.732   
24.6202   283.538   
25.2207   282.158   
25.8212   280.494   
26.4216   278.648   
27.0221   276.742   
27.6226   274.849   
28.2231   272.996   
28.8236   271.201   
29.4241   269.549   
30.0246   268.396   
30.6251   268.732   
31.2256   270.733   
31.8261   271.492   
32.4266   270.808   
33.0271   269.712   
33.6276   268.635   
34.228    267.729   
34.8285   267.151   
35.429    267.269   
36.0295   268.561   
36.63     270.454   
37.2305   271.446   
37.831    271.365   
38.4315   270.746   
39.032    269.918   
39.6325   268.999   
40.233    268.03    
40.8335   267.064   
41.4339   266.199   
42.0344   265.56    
42.6349   265.205   
43.2354   265.073   
43.8359   265.145   
44.4364   265.518   
45.0369   265.995   
45.6374   266.012   
46.2379   265.519   
46.8384   265.675   
47.4389   268.297   
48.0394   270.921   
48.6399   270.92    
49.2403   269.977   
49.8408   269.13    
50.4413   268.3     
51.0418   267.142   
51.6423   265.602   
52.2428   263.838   
52.8433   262.007   
53.4438   260.197   
54.0443   258.446   
54.6448   256.764   
55.2453   255.147   
55.8458   253.59    
56.4462   252.086   
57.0467   250.63    
57.6472   249.214   
58.2477   247.836   
58.8482   246.492   
59.4487   245.178   
