#r        v         
0         0         
0.600492  40.6199   
1.20098   69.1789   
1.80148   93.0387   
2.40197   110.755   
3.00246   125.356   
3.60295   138.026   
4.20344   151.773   
4.80394   162.259   
5.40443   172.202   
6.00492   180.775   
6.60541   190.283   
7.2059    201.208   
7.8064    211.767   
8.40689   218.875   
9.00738   225.215   
9.60787   233.812   
10.2084   245.627   
10.8089   254.898   
11.4093   263.203   
12.0098   269.814   
12.6103   274.888   
13.2108   280.164   
13.8113   287.037   
14.4118   293.098   
15.0123   297.414   
15.6128   298.937   
16.2133   297.417   
16.8138   294.468   
17.4143   291.529   
18.0148   289.692   
18.6153   288.765   
19.2157   288.331   
19.8162   287.231   
20.4167   285.687   
21.0172   284.263   
21.6177   283.474   
22.2182   283.041   
22.8187   282.4     
23.4192   281.792   
24.0197   281.113   
24.6202   280.272   
25.2207   279.557   
25.8212   279.07    
26.4216   278.464   
27.0221   277.57    
27.6226   276.514   
28.2231   275.415   
28.8236   274.331   
29.4241   273.311   
30.0246   272.429   
30.6251   271.79    
31.2256   271.473   
31.8261   271.383   
32.4266   271.259   
33.0271   270.925   
33.6276   270.396   
34.228    269.784   
34.8285   269.25    
35.429    269.048   
36.0295   269.48    
36.63     270.356   
37.2305   270.99    
37.831    271.203   
38.4315   271.129   
39.032    270.871   
39.6325   270.488   
40.233    270.024   
40.8335   269.512   
41.4339   268.977   
42.0344   268.432   
42.6349   267.915   
43.2354   267.474   
43.8359   267.091   
44.4364   266.652   
45.0369   266.068   
45.6374   265.366   
46.2379   264.72    
46.8384   264.632   
47.4389   265.883   
48.0394   267.406   
48.6399   268.012   
49.2403   268.281   
49.8408   268.359   
50.4413   268.026   
51.0418   267.164   
51.6423   265.88    
52.2428   264.36    
52.8433   262.747   
53.4438   261.121   
54.0443   259.52    
54.6448   257.958   
55.2453   256.438   
55.8458   254.959   
56.4462   253.517   
57.0467   252.109   
57.6472   250.732   
58.2477   249.385   
58.8482   248.064   
59.4487   246.768   
