#r        v         
0         0         
0.600492  42.7821   
1.20098   71.9217   
1.80148   95.7568   
2.40197   116.213   
3.00246   134.069   
3.60295   150.38    
4.20344   161.247   
4.80394   169.808   
5.40443   179.937   
6.00492   190.918   
6.60541   197.879   
7.2059    203.001   
7.8064    208.346   
8.40689   214.866   
9.00738   223.437   
9.60787   234.751   
10.2084   248.076   
10.8089   262.157   
11.4093   272.842   
12.0098   279.036   
12.6103   281.873   
13.2108   282.805   
13.8113   283.613   
14.4118   283.278   
15.0123   282.347   
15.6128   281.283   
16.2133   279.889   
16.8138   278.447   
17.4143   277.482   
18.0148   277.665   
18.6153   278.605   
19.2157   279.826   
19.8162   280.14    
20.4167   279.79    
21.0172   279.375   
21.6177   279.439   
22.2182   279.714   
22.8187   279.649   
23.4192   279.508   
24.0197   279.205   
24.6202   278.671   
25.2207   278.21    
25.8212   277.933   
26.4216   277.499   
27.0221   276.747   
27.6226   275.81    
28.2231   274.81    
28.8236   273.81    
29.4241   272.861   
30.0246   272.038   
30.6251   271.451   
31.2256   271.179   
31.8261   271.127   
32.4266   271.034   
33.0271   270.728   
33.6276   270.223   
34.228    269.63    
34.8285   269.113   
35.429    268.926   
36.0295   269.371   
36.63     270.258   
37.2305   270.901   
37.831    271.121   
38.4315   271.055   
39.032    270.803   
39.6325   270.425   
40.233    269.965   
40.8335   269.458   
41.4339   268.926   
42.0344   268.385   
42.6349   267.87    
43.2354   267.432   
43.8359   267.051   
44.4364   266.614   
45.0369   266.031   
45.6374   265.33    
46.2379   264.685   
46.8384   264.598   
47.4389   265.85    
48.0394   267.374   
48.6399   267.981   
49.2403   268.251   
49.8408   268.331   
50.4413   267.998   
51.0418   267.137   
51.6423   265.854   
52.2428   264.334   
52.8433   262.722   
53.4438   261.096   
54.0443   259.496   
54.6448   257.934   
55.2453   256.414   
55.8458   254.935   
56.4462   253.493   
57.0467   252.086   
57.6472   250.709   
58.2477   249.362   
58.8482   248.041   
59.4487   246.745   
