#r        v         
0         0         
0.600492  42.7355   
1.20098   71.8999   
1.80148   95.7692   
2.40197   113.395   
3.00246   128.45    
3.60295   144.684   
4.20344   162.845   
4.80394   174.662   
5.40443   181.889   
6.00492   189.342   
6.60541   196.886   
7.2059    205.572   
7.8064    213.284   
8.40689   218.718   
9.00738   223.291   
9.60787   226.62    
10.2084   226.801   
10.8089   228.65    
11.4093   234.536   
12.0098   242.371   
12.6103   248.931   
13.2108   256.219   
13.8113   269.358   
14.4118   284.394   
15.0123   299.123   
15.6128   309.395   
16.2133   313.091   
16.8138   312.09    
17.4143   308.679   
18.0148   304.407   
18.6153   300.349   
19.2157   297.122   
19.8162   294.559   
20.4167   292.171   
21.0172   290.045   
21.6177   288.517   
22.2182   287.198   
22.8187   285.729   
23.4192   284.43    
24.0197   283.458   
24.6202   282.56    
25.2207   281.409   
25.8212   279.922   
26.4216   278.214   
27.0221   276.418   
27.6226   274.611   
28.2231   272.826   
28.8236   271.085   
29.4241   269.474   
30.0246   268.353   
30.6251   268.713   
31.2256   270.736   
31.8261   271.516   
32.4266   270.849   
33.0271   269.765   
33.6276   268.698   
34.228    267.799   
34.8285   267.226   
35.429    267.348   
36.0295   268.643   
36.63     270.538   
37.2305   271.532   
37.831    271.452   
38.4315   270.834   
39.032    270.007   
39.6325   269.088   
40.233    268.119   
40.8335   267.153   
41.4339   266.287   
42.0344   265.646   
42.6349   265.29    
43.2354   265.157   
43.8359   265.228   
44.4364   265.6     
45.0369   266.075   
45.6374   266.09    
46.2379   265.596   
46.8384   265.75    
47.4389   268.369   
48.0394   270.991   
48.6399   270.988   
49.2403   270.044   
49.8408   269.195   
50.4413   268.364   
51.0418   267.204   
51.6423   265.663   
52.2428   263.898   
52.8433   262.065   
53.4438   260.255   
54.0443   258.503   
54.6448   256.82    
55.2453   255.202   
55.8458   253.644   
56.4462   252.14    
57.0467   250.682   
57.6472   249.265   
58.2477   247.887   
58.8482   246.541   
59.4487   245.227   
