#r        v         
0         0         
0.600492  34.3553   
1.20098   61.4483   
1.80148   87.4872   
2.40197   108.381   
3.00246   125.793   
3.60295   139.943   
4.20344   152.224   
4.80394   164.253   
5.40443   174.803   
6.00492   185.441   
6.60541   198.164   
7.2059    211.657   
7.8064    221.168   
8.40689   228.91    
9.00738   236.904   
9.60787   246.444   
10.2084   254.829   
10.8089   260.902   
11.4093   265.395   
12.0098   269.239   
12.6103   272.991   
13.2108   279.91    
13.8113   288.615   
14.4118   295.095   
15.0123   298.645   
15.6128   299.155   
16.2133   296.76    
16.8138   293.04    
17.4143   289.144   
18.0148   285.708   
18.6153   283.179   
19.2157   281.76    
19.8162   281.015   
20.4167   280.288   
21.0172   279.622   
21.6177   279.367   
22.2182   279.14    
22.8187   278.59    
23.4192   278.076   
24.0197   277.779   
24.6202   277.461   
25.2207   276.807   
25.8212   275.746   
26.4216   274.406   
27.0221   272.931   
27.6226   271.407   
28.2231   269.872   
28.8236   268.352   
29.4241   266.938   
30.0246   265.996   
30.6251   266.526   
31.2256   268.718   
31.8261   269.645   
32.4266   269.1     
33.0271   268.123   
33.6276   267.153   
34.228    266.344   
34.8285   265.854   
35.429    266.056   
36.0295   267.43    
36.63     269.402   
37.2305   270.464   
37.831    270.442   
38.4315   269.876   
39.032    269.096   
39.6325   268.219   
40.233    267.29    
40.8335   266.36    
41.4339   265.529   
42.0344   264.922   
42.6349   264.598   
43.2354   264.497   
43.8359   264.599   
44.4364   265.002   
45.0369   265.504   
45.6374   265.543   
46.2379   265.07    
46.8384   265.246   
47.4389   267.889   
48.0394   270.532   
48.6399   270.544   
49.2403   269.614   
49.8408   268.778   
50.4413   267.96    
51.0418   266.811   
51.6423   265.279   
52.2428   263.524   
52.8433   261.7     
53.4438   259.899   
54.0443   258.155   
54.6448   256.48    
55.2453   254.87    
55.8458   253.32    
56.4462   251.823   
57.0467   250.373   
57.6472   248.964   
58.2477   247.591   
58.8482   246.253   
59.4487   244.945   
