#r        v         
0         0         
0.600492  37.1696   
1.20098   67.3021   
1.80148   91.5587   
2.40197   111.851   
3.00246   130.124   
3.60295   147.882   
4.20344   160.752   
4.80394   170.253   
5.40443   178.38    
6.00492   185.868   
6.60541   191.989   
7.2059    196.693   
7.8064    202.52    
8.40689   212.358   
9.00738   224.018   
9.60787   235.733   
10.2084   248.154   
10.8089   258.23    
11.4093   265.942   
12.0098   274.111   
12.6103   282.313   
13.2108   287.097   
13.8113   289.799   
14.4118   289.639   
15.0123   288.085   
15.6128   286.209   
16.2133   284.328   
16.8138   283.414   
17.4143   284.195   
18.0148   286.633   
18.6153   288.612   
19.2157   288.887   
19.8162   287.88    
20.4167   286.241   
21.0172   284.693   
21.6177   283.799   
22.2182   283.287   
22.8187   282.588   
23.4192   281.938   
24.0197   281.228   
24.6202   280.366   
25.2207   279.638   
25.8212   279.142   
26.4216   278.531   
27.0221   277.634   
27.6226   276.577   
28.2231   275.478   
28.8236   274.395   
29.4241   273.376   
30.0246   272.495   
30.6251   271.858   
31.2256   271.542   
31.8261   271.453   
32.4266   271.329   
33.0271   270.996   
33.6276   270.469   
34.228    269.857   
34.8285   269.323   
35.429    269.121   
36.0295   269.553   
36.63     270.428   
37.2305   271.061   
37.831    271.274   
38.4315   271.2     
39.032    270.941   
39.6325   270.558   
40.233    270.093   
40.8335   269.581   
41.4339   269.045   
42.0344   268.5     
42.6349   267.982   
43.2354   267.54    
43.8359   267.157   
44.4364   266.717   
45.0369   266.132   
45.6374   265.43    
46.2379   264.782   
46.8384   264.694   
47.4389   265.944   
48.0394   267.465   
48.6399   268.07    
49.2403   268.338   
49.8408   268.416   
50.4413   268.082   
51.0418   267.219   
51.6423   265.935   
52.2428   264.414   
52.8433   262.8     
53.4438   261.174   
54.0443   259.573   
54.6448   258.01    
55.2453   256.489   
55.8458   255.009   
56.4462   253.567   
57.0467   252.159   
57.6472   250.782   
58.2477   249.433   
58.8482   248.112   
59.4487   246.815   
