#r        v         
0         0         
0.600492  42.0608   
1.20098   70.4972   
1.80148   96.1725   
2.40197   115.19    
3.00246   130.19    
3.60295   142.056   
4.20344   150.17    
4.80394   157.977   
5.40443   166.392   
6.00492   175.742   
6.60541   187.444   
7.2059    200.349   
7.8064    207.846   
8.40689   213.651   
9.00738   219.831   
9.60787   226.322   
10.2084   234.36    
10.8089   243.906   
11.4093   252.899   
12.0098   262.675   
12.6103   272.025   
13.2108   281.6     
13.8113   291.13    
14.4118   298.023   
15.0123   301.87    
15.6128   302.427   
16.2133   300.126   
16.8138   296.461   
17.4143   292.558   
18.0148   289.062   
18.6153   286.428   
19.2157   284.87    
19.8162   283.963   
20.4167   283.068   
21.0172   282.237   
21.6177   281.82    
22.2182   281.437   
22.8187   280.744   
23.4192   280.098   
24.0197   279.679   
24.6202   279.25    
25.2207   278.493   
25.8212   277.34    
26.4216   275.917   
27.0221   274.365   
27.6226   272.769   
28.2231   271.168   
28.8236   269.586   
29.4241   268.114   
30.0246   267.114   
30.6251   267.585   
31.2256   269.718   
31.8261   270.595   
32.4266   270.009   
33.0271   268.995   
33.6276   267.99    
34.228    267.147   
34.8285   266.624   
35.429    266.794   
36.0295   268.134   
36.63     270.073   
37.2305   271.107   
37.831    271.061   
38.4315   270.473   
39.032    269.673   
39.6325   268.778   
40.233    267.83    
40.8335   266.884   
41.4339   266.036   
42.0344   265.413   
42.6349   265.073   
43.2354   264.957   
43.8359   265.044   
44.4364   265.431   
45.0369   265.919   
45.6374   265.945   
46.2379   265.46    
46.8384   265.625   
47.4389   268.253   
48.0394   270.882   
48.6399   270.885   
49.2403   269.946   
49.8408   269.103   
50.4413   268.276   
51.0418   267.121   
51.6423   265.583   
52.2428   263.822   
52.8433   261.993   
53.4438   260.186   
54.0443   258.437   
54.6448   256.757   
55.2453   255.142   
55.8458   253.588   
56.4462   252.086   
57.0467   250.631   
57.6472   249.217   
58.2477   247.841   
58.8482   246.498   
59.4487   245.185   
