#r        v         
0         0         
0.600492  40.2769   
1.20098   69.2314   
1.80148   94.851    
2.40197   116.594   
3.00246   136.274   
3.60295   151.437   
4.20344   161.748   
4.80394   171.305   
5.40443   177.867   
6.00492   184.677   
6.60541   195.198   
7.2059    206.431   
7.8064    216.595   
8.40689   222.808   
9.00738   226.235   
9.60787   231.045   
10.2084   238.891   
10.8089   248.404   
11.4093   259.336   
12.0098   267.722   
12.6103   272.919   
13.2108   278.478   
13.8113   287.095   
14.4118   292.511   
15.0123   293.229   
15.6128   292.316   
16.2133   290.397   
16.8138   288.097   
17.4143   286.116   
18.0148   285.227   
18.6153   285.117   
19.2157   285.301   
19.8162   284.661   
20.4167   283.483   
21.0172   282.356   
21.6177   281.811   
22.2182   281.582   
22.8187   281.114   
23.4192   280.656   
24.0197   280.108   
24.6202   279.379   
25.2207   278.76    
25.8212   278.357   
26.4216   277.824   
27.0221   276.993   
27.6226   275.992   
28.2231   274.941   
28.8236   273.899   
29.4241   272.916   
30.0246   272.067   
30.6251   271.458   
31.2256   271.167   
31.8261   271.101   
32.4266   270.998   
33.0271   270.683   
33.6276   270.172   
34.228    269.575   
34.8285   269.054   
35.429    268.866   
36.0295   269.309   
36.63     270.196   
37.2305   270.84    
37.831    271.062   
38.4315   270.996   
39.032    270.745   
39.6325   270.368   
40.233    269.909   
40.8335   269.403   
41.4339   268.872   
42.0344   268.332   
42.6349   267.819   
43.2354   267.382   
43.8359   267.003   
44.4364   266.567   
45.0369   265.985   
45.6374   265.287   
46.2379   264.643   
46.8384   264.557   
47.4389   265.811   
48.0394   267.337   
48.6399   267.945   
49.2403   268.216   
49.8408   268.296   
50.4413   267.965   
51.0418   267.104   
51.6423   265.822   
52.2428   264.303   
52.8433   262.691   
53.4438   261.066   
54.0443   259.466   
54.6448   257.905   
55.2453   256.386   
55.8458   254.907   
56.4462   253.466   
57.0467   252.059   
57.6472   250.684   
58.2477   249.337   
58.8482   248.016   
59.4487   246.721   
