#r        v         
0         0         
0.600492  39.604    
1.20098   66.3666   
1.80148   91.2782   
2.40197   113.581   
3.00246   129.549   
3.60295   142.437   
4.20344   154.073   
4.80394   163.738   
5.40443   170.907   
6.00492   179.126   
6.60541   188.902   
7.2059    200.969   
7.8064    213.829   
8.40689   224.448   
9.00738   233.399   
9.60787   243.145   
10.2084   251.605   
10.8089   256.743   
11.4093   260.344   
12.0098   262.926   
12.6103   264.904   
13.2108   267.597   
13.8113   273.276   
14.4118   280.236   
15.0123   288.415   
15.6128   295.431   
16.2133   297.941   
16.8138   297.133   
17.4143   294.872   
18.0148   292.964   
18.6153   291.673   
19.2157   290.812   
19.8162   289.318   
20.4167   287.433   
21.0172   285.723   
21.6177   284.695   
22.2182   284.067   
22.8187   283.267   
23.4192   282.529   
24.0197   281.743   
24.6202   280.814   
25.2207   280.027   
25.8212   279.481   
26.4216   278.825   
27.0221   277.889   
27.6226   276.799   
28.2231   275.671   
28.8236   274.563   
29.4241   273.521   
30.0246   272.621   
30.6251   271.966   
31.2256   271.635   
31.8261   271.533   
32.4266   271.397   
33.0271   271.054   
33.6276   270.517   
34.228    269.898   
34.8285   269.357   
35.429    269.149   
36.0295   269.575   
36.63     270.445   
37.2305   271.075   
37.831    271.283   
38.4315   271.206   
39.032    270.945   
39.6325   270.559   
40.233    270.091   
40.8335   269.577   
41.4339   269.039   
42.0344   268.493   
42.6349   267.973   
43.2354   267.53    
43.8359   267.146   
44.4364   266.705   
45.0369   266.119   
45.6374   265.416   
46.2379   264.768   
46.8384   264.679   
47.4389   265.928   
48.0394   267.45    
48.6399   268.054   
49.2403   268.322   
49.8408   268.4     
50.4413   268.065   
51.0418   267.202   
51.6423   265.918   
52.2428   264.397   
52.8433   262.783   
53.4438   261.157   
54.0443   259.555   
54.6448   257.993   
55.2453   256.472   
55.8458   254.992   
56.4462   253.549   
57.0467   252.141   
57.6472   250.764   
58.2477   249.416   
58.8482   248.094   
59.4487   246.798   
