#r        v         
0         0         
0.600492  38.1523   
1.20098   66.3186   
1.80148   94.086    
2.40197   115.569   
3.00246   131.115   
3.60295   143.936   
4.20344   155.027   
4.80394   166.425   
5.40443   177.01    
6.00492   191.26    
6.60541   207.278   
7.2059    218.351   
7.8064    225.8     
8.40689   235.054   
9.00738   247.872   
9.60787   261.132   
10.2084   270.207   
10.8089   274.557   
11.4093   275.38    
12.0098   275.546   
12.6103   276.111   
13.2108   277.754   
13.8113   281.565   
14.4118   283.321   
15.0123   283.967   
15.6128   283.807   
16.2133   281.914   
16.8138   278.999   
17.4143   275.935   
18.0148   273.381   
18.6153   272.047   
19.2157   272.585   
19.8162   274.574   
20.4167   276.445   
21.0172   277.949   
21.6177   280.079   
22.2182   283.605   
22.8187   285.53    
23.4192   285.373   
24.0197   284.564   
24.6202   283.482   
25.2207   282.08    
25.8212   280.37    
26.4216   278.488   
27.0221   276.562   
27.6226   274.664   
28.2231   272.815   
28.8236   271.03    
29.4241   269.389   
30.0246   268.246   
30.6251   268.591   
31.2256   270.609   
31.8261   271.391   
32.4266   270.728   
33.0271   269.648   
33.6276   268.585   
34.228    267.691   
34.8285   267.123   
35.429    267.251   
36.0295   268.553   
36.63     270.457   
37.2305   271.46    
37.831    271.389   
38.4315   270.778   
39.032    269.958   
39.6325   269.044   
40.233    268.08    
40.8335   267.118   
41.4339   266.256   
42.0344   265.62    
42.6349   265.268   
43.2354   265.141   
43.8359   265.218   
44.4364   265.596   
45.0369   266.075   
45.6374   266.092   
46.2379   265.6     
46.8384   265.757   
47.4389   268.377   
48.0394   270.998   
48.6399   270.994   
49.2403   270.05    
49.8408   269.201   
50.4413   268.37    
51.0418   267.209   
51.6423   265.667   
52.2428   263.902   
52.8433   262.069   
53.4438   260.259   
54.0443   258.507   
54.6448   256.823   
55.2453   255.206   
55.8458   253.648   
56.4462   252.144   
57.0467   250.686   
57.6472   249.27    
58.2477   247.891   
58.8482   246.546   
59.4487   245.232   
