#r        v         
0         0         
0.600492  42.8913   
1.20098   68.0712   
1.80148   92.3378   
2.40197   110.921   
3.00246   125.153   
3.60295   140.029   
4.20344   153.043   
4.80394   166.562   
5.40443   186.301   
6.00492   208.064   
6.60541   226.498   
7.2059    240.748   
7.8064    249.75    
8.40689   251.885   
9.00738   250.758   
9.60787   248.571   
10.2084   246.699   
10.8089   245.558   
11.4093   246.328   
12.0098   248.457   
12.6103   250.97    
13.2108   255.588   
13.8113   263.069   
14.4118   267.824   
15.0123   271.368   
15.6128   273.89    
16.2133   274.602   
16.8138   274.653   
17.4143   276.138   
18.0148   278.406   
18.6153   281.59    
19.2157   284.444   
19.8162   285.819   
20.4167   286.885   
21.0172   286.728   
21.6177   286.231   
22.2182   285.511   
22.8187   284.418   
23.4192   283.376   
24.0197   282.59    
24.6202   281.831   
25.2207   280.783   
25.8212   279.374   
26.4216   277.726   
27.0221   275.975   
27.6226   274.204   
28.2231   272.447   
28.8236   270.727   
29.4241   269.131   
30.0246   268.018   
30.6251   268.384   
31.2256   270.421   
31.8261   271.222   
32.4266   270.571   
33.0271   269.499   
33.6276   268.442   
34.228    267.552   
34.8285   266.987   
35.429    267.117   
36.0295   268.422   
36.63     270.331   
37.2305   271.338   
37.831    271.27    
38.4315   270.662   
39.032    269.843   
39.6325   268.931   
40.233    267.969   
40.8335   267.008   
41.4339   266.148   
42.0344   265.513   
42.6349   265.164   
43.2354   265.039   
43.8359   265.119   
44.4364   265.499   
45.0369   265.981   
45.6374   265.999   
46.2379   265.509   
46.8384   265.668   
47.4389   268.291   
48.0394   270.914   
48.6399   270.911   
49.2403   269.968   
49.8408   269.121   
50.4413   268.29    
51.0418   267.131   
51.6423   265.59    
52.2428   263.825   
52.8433   261.994   
53.4438   260.184   
54.0443   258.433   
54.6448   256.751   
55.2453   255.134   
55.8458   253.578   
56.4462   252.074   
57.0467   250.618   
57.6472   249.203   
58.2477   247.825   
58.8482   246.481   
59.4487   245.168   
