#r        v         
0         0         
0.600492  37.592    
1.20098   65.5888   
1.80148   92.9863   
2.40197   115.785   
3.00246   132.156   
3.60295   144.376   
4.20344   155.315   
4.80394   167.403   
5.40443   176.913   
6.00492   188.601   
6.60541   204.017   
7.2059    216.88    
7.8064    224.622   
8.40689   233.437   
9.00738   246.269   
9.60787   260.46    
10.2084   270.861   
10.8089   275.873   
11.4093   276.958   
12.0098   276.94    
12.6103   277.649   
13.2108   279.468   
13.8113   283.707   
14.4118   285.4     
15.0123   285.924   
15.6128   285.668   
16.2133   283.726   
16.8138   280.822   
17.4143   277.829   
18.0148   275.378   
18.6153   274.062   
19.2157   274.249   
19.8162   275.413   
20.4167   276.538   
21.0172   277.609   
21.6177   279.588   
22.2182   282.609   
22.8187   284.072   
23.4192   284.12    
24.0197   283.614   
24.6202   282.796   
25.2207   281.589   
25.8212   280.017   
26.4216   278.23    
27.0221   276.372   
27.6226   274.521   
28.2231   272.707   
28.8236   270.948   
29.4241   269.326   
30.0246   268.198   
30.6251   268.555   
31.2256   270.581   
31.8261   271.37    
32.4266   270.712   
33.0271   269.636   
33.6276   268.576   
34.228    267.685   
34.8285   267.119   
35.429    267.249   
36.0295   268.552   
36.63     270.457   
37.2305   271.461   
37.831    271.391   
38.4315   270.781   
39.032    269.961   
39.6325   269.047   
40.233    268.084   
40.8335   267.122   
41.4339   266.26    
42.0344   265.624   
42.6349   265.273   
43.2354   265.145   
43.8359   265.222   
44.4364   265.6     
45.0369   266.079   
45.6374   266.096   
46.2379   265.604   
46.8384   265.761   
47.4389   268.381   
48.0394   271.002   
48.6399   270.998   
49.2403   270.054   
49.8408   269.205   
50.4413   268.374   
51.0418   267.213   
51.6423   265.671   
52.2428   263.906   
52.8433   262.073   
53.4438   260.263   
54.0443   258.511   
54.6448   256.827   
55.2453   255.21    
55.8458   253.652   
56.4462   252.147   
57.0467   250.69    
57.6472   249.274   
58.2477   247.895   
58.8482   246.55    
59.4487   245.235   
