#r        v         
0         0         
0.600492  37.7568   
1.20098   63.6816   
1.80148   90.463    
2.40197   110.443   
3.00246   126.569   
3.60295   142.448   
4.20344   157.47    
4.80394   168.222   
5.40443   177.364   
6.00492   184.461   
6.60541   191.471   
7.2059    198.063   
7.8064    204.262   
8.40689   211.518   
9.00738   222.114   
9.60787   231.167   
10.2084   238.931   
10.8089   244.758   
11.4093   252.544   
12.0098   262.875   
12.6103   273.495   
13.2108   284.038   
13.8113   293.431   
14.4118   297.816   
15.0123   298.953   
15.6128   298.334   
16.2133   295.87    
16.8138   292.534   
17.4143   289.202   
18.0148   286.378   
18.6153   284.423   
19.2157   283.481   
19.8162   283.088   
20.4167   282.594   
21.0172   282.059   
21.6177   281.86    
22.2182   281.642   
22.8187   281.07    
23.4192   280.506   
24.0197   280.141   
24.6202   279.747   
25.2207   279.015   
25.8212   277.879   
26.4216   276.466   
27.0221   274.92    
27.6226   273.326   
28.2231   271.725   
28.8236   270.142   
29.4241   268.669   
30.0246   267.668   
30.6251   268.135   
31.2256   270.252   
31.8261   271.11    
32.4266   270.509   
33.0271   269.483   
33.6276   268.466   
34.228    267.612   
34.8285   267.078   
35.429    267.234   
36.0295   268.56    
36.63     270.482   
37.2305   271.5     
37.831    271.44    
38.4315   270.84    
39.032    270.029   
39.6325   269.124   
40.233    268.167   
40.8335   267.211   
41.4339   266.355   
42.0344   265.723   
42.6349   265.374   
43.2354   265.248   
43.8359   265.324   
44.4364   265.702   
45.0369   266.181   
45.6374   266.199   
46.2379   265.708   
46.8384   265.865   
47.4389   268.484   
48.0394   271.106   
48.6399   271.103   
49.2403   270.16    
49.8408   269.312   
50.4413   268.482   
51.0418   267.322   
51.6423   265.781   
52.2428   264.016   
52.8433   262.184   
53.4438   260.374   
54.0443   258.622   
54.6448   256.939   
55.2453   255.321   
55.8458   253.763   
56.4462   252.258   
57.0467   250.8     
57.6472   249.384   
58.2477   248.004   
58.8482   246.658   
59.4487   245.343   
