#r        v         
0         0         
0.600492  42.7209   
1.20098   66.4722   
1.80148   89.3841   
2.40197   109.787   
3.00246   126.76    
3.60295   143.28    
4.20344   161.973   
4.80394   181.052   
5.40443   198.124   
6.00492   211.919   
6.60541   223.064   
7.2059    231.238   
7.8064    234.099   
8.40689   232.444   
9.00738   229.094   
9.60787   226.348   
10.2084   226.282   
10.8089   228.55    
11.4093   232.317   
12.0098   238.952   
12.6103   247.825   
13.2108   257.297   
13.8113   270.021   
14.4118   281.525   
15.0123   288.443   
15.6128   292.457   
16.2133   293.098   
16.8138   291.832   
17.4143   290.036   
18.0148   288.914   
18.6153   287.568   
19.2157   286.779   
19.8162   286.213   
20.4167   285.253   
21.0172   284.137   
21.6177   283.369   
22.2182   282.645   
22.8187   281.662   
23.4192   280.781   
24.0197   280.176   
24.6202   279.598   
25.2207   278.723   
25.8212   277.475   
26.4216   275.975   
27.0221   274.361   
27.6226   272.715   
28.2231   271.072   
28.8236   269.455   
29.4241   267.952   
30.0246   266.925   
30.6251   267.373   
31.2256   269.494   
31.8261   270.369   
32.4266   269.779   
33.0271   268.761   
33.6276   267.753   
34.228    266.907   
34.8285   266.384   
35.429    266.553   
36.0295   267.897   
36.63     269.842   
37.2305   270.882   
37.831    270.841   
38.4315   270.257   
39.032    269.461   
39.6325   268.569   
40.233    267.625   
40.8335   266.682   
41.4339   265.838   
42.0344   265.218   
42.6349   264.883   
43.2354   264.772   
43.8359   264.865   
44.4364   265.258   
45.0369   265.751   
45.6374   265.78    
46.2379   265.298   
46.8384   265.467   
47.4389   268.1     
48.0394   270.732   
48.6399   270.737   
49.2403   269.8     
49.8408   268.958   
50.4413   268.133   
51.0418   266.979   
51.6423   265.442   
52.2428   263.682   
52.8433   261.855   
53.4438   260.049   
54.0443   258.302   
54.6448   256.623   
55.2453   255.01    
55.8458   253.457   
56.4462   251.956   
57.0467   250.503   
57.6472   249.091   
58.2477   247.716   
58.8482   246.374   
59.4487   245.064   
