#r        v         
0.150123  59.0261   
0.300246  53.5461   
0.450369  48.3477   
0.600492  64.2041   
0.750615  79.0433   
0.900738  87.6022   
1.05086   88.697    
1.20098   97.0678   
1.35111   94.419    
1.50123   230.826   
1.65135   215.705   
1.80148   203.628   
1.9516    218.568   
2.10172   189.013   
2.25184   235.363   
2.40197   204.801   
2.55209   255.815   
2.70221   261.191   
2.85234   262.699   
3.00246   275.786   
3.15258   229.487   
3.30271   311.335   
3.45283   282.562   
3.60295   350.05    
3.75307   328.886   
3.9032    326.361   
4.05332   297.409   
4.20344   333.1     
4.35357   357.141   
4.50369   360.787   
4.65381   285.766   
4.80394   282.056   
4.95406   479.356   
5.10418   411.712   
5.2543    258.433   
5.40443   249.736   
5.55455   404.065   
5.70467   379.576   
5.8548    443.524   
6.00492   474.183   
6.15504   418.419   
6.30517   312.86    
6.45529   513.352   
6.60541   470.132   
6.75553   441.301   
6.90566   471.863   
7.05578   528.481   
7.2059    437.296   
7.35603   343.117   
7.50615   543.844   
7.65627   415.795   
7.8064    495.74    
7.95652   524.788   
8.10664   495.501   
8.25676   566.912   
8.40689   364.682   
8.55701   556.178   
8.70713   493.738   
8.85726   436.404   
9.00738   459.231   
9.1575    637.921   
9.30763   540.207   
9.45775   493.878   
9.60787   613.598   
9.75799   566.913   
9.90812   473.115   
10.0582   437.553   
10.2084   645.509   
10.3585   541.607   
10.5086   584.864   
10.6587   570.757   
10.8089   538.47    
10.959    537.829   
11.1091   565.166   
11.2592   591.761   
11.4093   684.7     
11.5595   660.744   
11.7096   669.133   
11.8597   697.35    
12.0098   707.248   
12.16     571.657   
12.3101   829.519   
12.4602   593.13    
12.6103   578.125   
12.7605   573.498   
12.9106   904.78    
13.0607   768.642   
13.2108   703.033   
13.3609   604.382   
13.5111   701.917   
13.6612   631.793   
13.8113   623.631   
13.9614   1133.61   
14.1116   874.523   
14.2617   880.011   
14.4118   1008.72   
14.5619   758.267   
14.7121   903.687   
14.8622   1054.32   
15.0123   1007.74   
15.1624   946.872   
15.3125   1280.84   
15.4627   998.317   
15.6128   1513.04   
15.7629   907.012   
15.913    697.148   
16.0632   691.385   
16.2133   1245.88   
16.3634   1075.94   
16.5135   929.746   
16.6637   932.777   
16.8138   1406.48   
16.9639   1102.81   
17.114    1046.8    
17.2641   1101.19   
17.4143   1050.35   
17.5644   1197.38   
17.7145   1208.6    
17.8646   1034.02   
18.0148   1064.12   
18.1649   977.802   
18.315    1242.22   
18.4651   1371.91   
18.6153   1143.81   
18.7654   1114.36   
18.9155   1373.63   
19.0656   1085.61   
19.2157   1351.73   
19.3659   1738.15   
19.516    1237.57   
19.6661   1267.51   
19.8162   1028.28   
19.9664   1334.51   
20.1165   1208.16   
20.2666   1286.8    
20.4167   1052.69   
20.5669   1633.52   
20.717    1375.15   
20.8671   1192.2    
21.0172   1253.18   
21.1673   1387.78   
21.3175   1314.43   
21.4676   1106.14   
21.6177   1215.42   
21.7678   1087.87   
21.918    1571.74   
22.0681   1116.96   
22.2182   1364.52   
22.3683   1055.74   
22.5184   1336.81   
22.6686   1290.85   
22.8187   1449.48   
22.9688   1337.4    
23.1189   1159.01   
23.2691   1198.62   
23.4192   1436.39   
23.5693   1294.79   
23.7194   1282.75   
23.8696   1282.26   
24.0197   1174.35   
24.1698   1652.72   
24.3199   1517.12   
24.47     1245.85   
24.6202   1245.88   
24.7703   1490.44   
24.9204   1444.31   
25.0705   1478.89   
25.2207   1568.13   
25.3708   1459.16   
25.5209   1529.76   
25.671    1588.36   
25.8212   1409.36   
25.9713   1567.98   
26.1214   1341.09   
26.2715   1539.73   
26.4216   1445.56   
26.5718   1525.08   
26.7219   1469.82   
26.872    1428.36   
27.0221   1613.1    
27.1723   1450.6    
27.3224   1351.12   
27.4725   1519.57   
27.6226   1449.65   
27.7728   1441.33   
27.9229   1454.34   
28.073    1504.66   
28.2231   1437.21   
28.3732   1464.23   
28.5234   1365.48   
28.6735   1517.91   
