#r        v         
0         0         
0.600492  48.5751   
1.20098   80.8373   
1.80148   110.186   
2.40197   133.784   
3.00246   152.947   
3.60295   166.255   
4.20344   175.644   
4.80394   184.919   
5.40443   195.846   
6.00492   207.875   
6.60541   218.601   
7.2059    227.288   
7.8064    232.822   
8.40689   236.338   
9.00738   239.073   
9.60787   241.976   
10.2084   244.27    
10.8089   245.076   
11.4093   245.015   
12.0098   245.319   
12.6103   246.075   
13.2108   247.961   
13.8113   254.049   
14.4118   262.042   
15.0123   271.408   
15.6128   279.932   
16.2133   284.767   
16.8138   285.61    
17.4143   283.483   
18.0148   280.878   
18.6153   278.545   
19.2157   277.373   
19.8162   277.139   
20.4167   277.105   
21.0172   277.502   
21.6177   278.733   
22.2182   279.499   
22.8187   279.403   
23.4192   279.042   
24.0197   278.746   
24.6202   278.353   
25.2207   277.591   
25.8212   276.413   
26.4216   274.959   
27.0221   273.378   
27.6226   271.759   
28.2231   270.14    
28.8236   268.548   
29.4241   267.071   
30.0246   266.074   
30.6251   266.557   
31.2256   268.711   
31.8261   269.607   
32.4266   269.036   
33.0271   268.037   
33.6276   267.047   
34.228    266.222   
34.8285   265.719   
35.429    265.91    
36.0295   267.275   
36.63     269.242   
37.2305   270.298   
37.831    270.272   
38.4315   269.702   
39.032    268.919   
39.6325   268.04    
40.233    267.109   
40.8335   266.178   
41.4339   265.346   
42.0344   264.738   
42.6349   264.415   
43.2354   264.315   
43.8359   264.418   
44.4364   264.822   
45.0369   265.327   
45.6374   265.367   
46.2379   264.895   
46.8384   265.074   
47.4389   267.721   
48.0394   270.367   
48.6399   270.381   
49.2403   269.453   
49.8408   268.619   
50.4413   267.802   
51.0418   266.654   
51.6423   265.124   
52.2428   263.37    
52.8433   261.548   
53.4438   259.747   
54.0443   258.005   
54.6448   256.331   
55.2453   254.723   
55.8458   253.175   
56.4462   251.679   
57.0467   250.23    
57.6472   248.822   
58.2477   247.451   
58.8482   246.114   
59.4487   244.807   
