#r        v         
0         0         
0.600492  45.1255   
1.20098   78.2956   
1.80148   106.95    
2.40197   131.424   
3.00246   151.47    
3.60295   164.632   
4.20344   171.567   
4.80394   175.909   
5.40443   181.162   
6.00492   187.55    
6.60541   193.933   
7.2059    200.752   
7.8064    208.738   
8.40689   218.047   
9.00738   229.209   
9.60787   241.258   
10.2084   253.134   
10.8089   262.139   
11.4093   267.162   
12.0098   269.754   
12.6103   270.887   
13.2108   271.555   
13.8113   274.374   
14.4118   276.448   
15.0123   279.668   
15.6128   281.598   
16.2133   282.248   
16.8138   282.891   
17.4143   283.457   
18.0148   283.486   
18.6153   283.166   
19.2157   282.963   
19.8162   282.789   
20.4167   282.226   
21.0172   281.53    
21.6177   281.163   
22.2182   280.793   
22.8187   280.105   
23.4192   279.467   
24.0197   279.063   
24.6202   278.65    
25.2207   277.91    
25.8212   276.772   
26.4216   275.364   
27.0221   273.826   
27.6226   272.245   
28.2231   270.656   
28.8236   269.086   
29.4241   267.623   
30.0246   266.632   
30.6251   267.112   
31.2256   269.261   
31.8261   270.157   
32.4266   269.586   
33.0271   268.584   
33.6276   267.588   
34.228    266.755   
34.8285   266.243   
35.429    266.422   
36.0295   267.774   
36.63     269.727   
37.2305   270.773   
37.831    270.738   
38.4315   270.159   
39.032    269.366   
39.6325   268.478   
40.233    267.537   
40.8335   266.597   
41.4339   265.755   
42.0344   265.138   
42.6349   264.805   
43.2354   264.696   
43.8359   264.79    
44.4364   265.185   
45.0369   265.68    
45.6374   265.71    
46.2379   265.23    
46.8384   265.399   
47.4389   268.035   
48.0394   270.669   
48.6399   270.675   
49.2403   269.738   
49.8408   268.897   
50.4413   268.073   
51.0418   266.919   
51.6423   265.383   
52.2428   263.624   
52.8433   261.796   
53.4438   259.991   
54.0443   258.244   
54.6448   256.566   
55.2453   254.953   
55.8458   253.4     
56.4462   251.9     
57.0467   250.447   
57.6472   249.035   
58.2477   247.66    
58.8482   246.319   
59.4487   245.008   
