#r        v         
0         0         
0.600492  37.2807   
1.20098   62.0405   
1.80148   88.0874   
2.40197   109.849   
3.00246   127.064   
3.60295   143.189   
4.20344   157.396   
4.80394   169.309   
5.40443   180.113   
6.00492   192.655   
6.60541   211.248   
7.2059    224.655   
7.8064    230.228   
8.40689   231.332   
9.00738   230.681   
9.60787   230.536   
10.2084   231.722   
10.8089   233.32    
11.4093   235.121   
12.0098   238.049   
12.6103   241.249   
13.2108   245.062   
13.8113   252.844   
14.4118   262.135   
15.0123   275.251   
15.6128   288.625   
16.2133   297.717   
16.8138   305.096   
17.4143   310.629   
18.0148   311.234   
18.6153   309.098   
19.2157   305.906   
19.8162   302.618   
20.4167   299.277   
21.0172   296.184   
21.6177   293.767   
22.2182   291.68    
22.8187   289.566   
23.4192   287.728   
24.0197   286.307   
24.6202   285.036   
25.2207   283.575   
25.8212   281.832   
26.4216   279.908   
27.0221   277.927   
27.6226   275.963   
28.2231   274.041   
28.8236   272.18    
29.4241   270.461   
30.0246   269.241   
30.6251   269.507   
31.2256   271.448   
31.8261   272.165   
32.4266   271.444   
33.0271   270.312   
33.6276   269.2     
34.228    268.26    
34.8285   267.65    
35.429    267.737   
36.0295   269       
36.63     270.868   
37.2305   271.839   
37.831    271.74    
38.4315   271.105   
39.032    270.261   
39.6325   269.327   
40.233    268.344   
40.8335   267.364   
41.4339   266.485   
42.0344   265.833   
42.6349   265.467   
43.2354   265.326   
43.8359   265.39    
44.4364   265.756   
45.0369   266.224   
45.6374   266.231   
46.2379   265.729   
46.8384   265.878   
47.4389   268.489   
48.0394   271.102   
48.6399   271.091   
49.2403   270.141   
49.8408   269.287   
50.4413   268.45    
51.0418   267.285   
51.6423   265.739   
52.2428   263.97    
52.8433   262.133   
53.4438   260.319   
54.0443   258.564   
54.6448   256.877   
55.2453   255.257   
55.8458   253.697   
56.4462   252.189   
57.0467   250.729   
57.6472   249.311   
58.2477   247.93    
58.8482   246.582   
59.4487   245.266   
