#r        v         
0         80.475    
0.230189  80.8199   
0.460377  70.8824   
0.690566  59.4701   
0.920754  89.1114   
1.15094   110.451   
1.38113   124.217   
1.61132   125.826   
1.84151   138.045   
2.0717    146.779   
2.30189   181.083   
2.53207   202.841   
2.76226   200.99    
2.99245   184.809   
3.22264   181.144   
3.45283   201.64    
3.68302   197.773   
3.91321   215.582   
4.14339   237.213   
4.37358   238.225   
4.60377   247.467   
4.83396   242.012   
5.06415   239.339   
5.29434   255.307   
5.52453   236.774   
5.75472   254.551   
5.9849    250.145   
6.21509   251.22    
6.44528   251.775   
6.67547   293.723   
6.90566   260.603   
7.13585   267.319   
7.36604   260.645   
7.59622   320.575   
7.82641   270.288   
8.0566    260.453   
8.28679   280.968   
8.51698   273.234   
8.74717   301.372   
8.97736   312.273   
9.20754   295.365   
9.43773   291.539   
9.66792   302.523   
9.89811   308.456   
10.1283   324.725   
10.3585   290.298   
10.5887   319.779   
10.8189   318.645   
11.0491   288.152   
11.2792   311.087   
11.5094   324.221   
11.7396   330.014   
11.9698   327.906   
12.2      309.045   
12.4302   327.17    
12.6604   306.47    
12.8906   316.482   
13.1208   324.222   
13.3509   313.285   
13.5811   310.677   
13.8113   325.146   
14.0415   338.49    
14.2717   325.04    
14.5019   322.7     
14.7321   327.819   
14.9623   332.41    
15.1924   313.158   
15.4226   334.999   
15.6528   336.602   
15.883    342.349   
16.1132   346.787   
16.3434   331.723   
16.5736   331.716   
16.8038   347.126   
17.034    330.224   
17.2641   351.216   
17.4943   356.469   
17.7245   333.333   
17.9547   352.317   
18.1849   351.352   
18.4151   351.952   
18.6453   355.967   
18.8755   357.935   
19.1057   349.045   
19.3358   350.487   
19.566    350.642   
19.7962   377.152   
20.0264   370.763   
20.2566   367.145   
20.4868   367.689   
20.717    363.127   
20.9472   361.528   
21.1774   371.677   
21.4075   390.971   
21.6377   381.557   
21.8679   371.437   
22.0981   408.79    
22.3283   390.12    
22.5585   403.935   
22.7887   454.278   
23.0189   465.031   
23.249    485.324   
23.4792   503.292   
23.7094   491.796   
23.9396   504.944   
24.1698   462.666   
24.4      420.4     
24.6302   416.301   
24.8604   505.878   
25.0906   501.587   
25.3207   440.474   
25.5509   453.949   
25.7811   526.662   
26.0113   498.152   
26.2415   472.832   
26.4717   477.607   
26.7019   494.532   
26.9321   450.669   
27.1623   440.604   
27.3924   464.028   
27.6226   473.119   
27.8528   405.747   
28.083    445.411   
28.3132   478.263   
28.5434   469.756   
28.7736   451.637   
29.0038   411.195   
29.234    471.842   
29.4641   429.49    
29.6943   461.599   
29.9245   455.625   
30.1547   422.312   
30.3849   441.863   
30.6151   446.443   
30.8453   447.233   
31.0755   445.423   
31.3056   468.646   
31.5358   447.432   
31.766    475.862   
31.9962   465.638   
32.2264   423.857   
32.4566   445.978   
32.6868   435.2     
32.917    417.612   
33.1472   439.898   
33.3773   446.504   
33.6075   419.218   
33.8377   449.855   
34.0679   435.131   
34.2981   429.54    
34.5283   432.681   
34.7585   442.741   
34.9887   413.535   
35.2189   436.458   
35.449    458.221   
35.6792   427.575   
35.9094   399.533   
36.1396   424.773   
36.3698   455.16    
36.6      414.943   
36.8302   425.566   
37.0604   411.438   
37.2906   420.322   
37.5207   440.261   
37.7509   420.757   
37.9811   420.088   
38.2113   400.288   
38.4415   435.527   
38.6717   411.539   
38.9019   402.339   
39.1321   432.178   
39.3622   415.555   
39.5924   408.537   
39.8226   414.198   
40.0528   437.967   
40.283    421.673   
40.5132   386.089   
40.7434   415.531   
40.9736   397.779   
41.2038   414.806   
41.4339   426.989   
41.6641   425.692   
41.8943   413.608   
42.1245   415.232   
42.3547   418.829   
42.5849   404.191   
42.8151   398.647   
43.0453   397.823   
43.2755   418.911   
43.5056   420.883   
43.7358   404.361   
43.966    422.395   
44.1962   411.526   
44.4264   397.205   
44.6566   408.159   
44.8868   413.253   
45.117    426.273   
45.3472   398.931   
45.5773   398.877   
45.8075   404.684   
46.0377   402.796   
46.2679   414.044   
46.4981   384.345   
46.7283   398.765   
46.9585   382.602   
47.1887   398.098   
47.4189   406.817   
47.649    418.555   
47.8792   399.276   
48.1094   397.893   
48.3396   405.349   
48.5698   393.097   
48.8      402       
49.0302   391.529   
49.2604   410.5     
49.4905   403.923   
49.7207   398.44    
49.9509   399.964   
50.1811   391.924   
50.4113   400.19    
50.6415   377.172   
50.8717   390.016   
51.1019   388.568   
51.3321   415.174   
51.5622   393.837   
51.7924   399.317   
52.0226   404.309   
52.2528   405.883   
52.483    401.328   
52.7132   396.422   
52.9434   391.497   
53.1736   385.571   
53.4038   402.544   
53.6339   390.369   
53.8641   398.517   
54.0943   378.072   
54.3245   401.561   
54.5547   394.65    
54.7849   396.12    
55.0151   404.066   
55.2453   401.818   
55.4755   408.822   
55.7056   391.213   
55.9358   396.811   
56.166    401.532   
56.3962   380.812   
56.6264   383.01    
56.8566   388.761   
57.0868   395.47    
57.317    392.779   
57.5471   394.778   
57.7773   386.326   
58.0075   395.308   
58.2377   376.582   
58.4679   394.44    
58.6981   380.458   
58.9283   386.699   
59.1585   391.248   
59.3887   390.326   
59.6188   388.461   
59.849    390.354   
60.0792   388.784   
60.3094   396.926   
60.5396   394.596   
60.7698   391.332   
61        382.482   
61.2302   381.179   
61.4604   380.358   
61.6905   394.88    
61.9207   392.407   
62.1509   377.722   
62.3811   393.281   
62.6113   386.512   
62.8415   389.512   
63.0717   384.203   
63.3019   371.193   
63.5321   382.527   
63.7622   386.824   
63.9924   380.278   
64.2226   377.612   
64.4528   382.625   
64.683    378.564   
64.9132   392.38    
65.1434   380.326   
65.3736   384.502   
65.6038   385.377   
65.8339   390.644   
66.0641   389.712   
66.2943   388.76    
66.5245   382.082   
66.7547   387.373   
66.9849   387.519   
67.2151   383.175   
67.4453   377.313   
67.6754   387.013   
67.9056   383.271   
68.1358   379.053   
68.366    381.741   
68.5962   384.326   
68.8264   382.523   
69.0566   378.625   
69.2868   383.336   
69.517    379.946   
69.7471   380.858   
69.9773   376.132   
70.2075   379.577   
70.4377   371.498   
70.6679   375.951   
70.8981   381.179   
71.1283   375.577   
71.3585   377.313   
71.5887   371.581   
71.8188   382.477   
72.049    380.15    
72.2792   386.899   
72.5094   381.745   
72.7396   375.591   
72.9698   368.193   
73.2      382.247   
73.4302   380.815   
73.6604   368.974   
73.8905   379.639   
74.1207   375.866   
74.3509   376.4     
74.5811   369.139   
74.8113   377.834   
75.0415   373.421   
75.2717   375.474   
75.5019   377.731   
75.7321   369.696   
75.9622   375.394   
76.1924   375.895   
76.4226   377.997   
76.6528   376.348   
76.883    375.653   
77.1132   365.696   
77.3434   374.594   
77.5736   375.362   
77.8037   376.854   
78.0339   370.68    
78.2641   378.383   
78.4943   364.853   
78.7245   370.214   
78.9547   382.029   
79.1849   366.699   
79.4151   371.518   
79.6453   371.444   
79.8754   371.173   
80.1056   297.22    
80.3358   315.973   
80.566    340.457   
80.7962   303.798   
81.2566   321.358   
81.717    325.621   
82.1773   336.356   
82.6377   302.499   
83.3283   313.849   
84.4792   330.981   
84.7094   327.365   
84.9396   329.673   
86.3207   326.352   
87.4717   326.485   
88.1622   328.991   
89.3132   327.383   
89.5434   328.952   
90.0037   325.148   
90.9245   313.37    
91.1547   322.646   
91.8452   299.118   
