#r        v         
0         0         
0.600492  42.2555   
1.20098   67.0372   
1.80148   90.9065   
2.40197   110.32    
3.00246   124.803   
3.60295   136.491   
4.20344   144.598   
4.80394   152.786   
5.40443   161.008   
6.00492   171.452   
6.60541   182.956   
7.2059    192.532   
7.8064    199.137   
8.40689   207.198   
9.00738   219.878   
9.60787   231.48    
10.2084   240.588   
10.8089   249.129   
11.4093   258.308   
12.0098   267.441   
12.6103   275.757   
13.2108   284.346   
13.8113   292.629   
14.4118   298.811   
15.0123   302.143   
15.6128   302.413   
16.2133   299.739   
16.8138   295.766   
17.4143   291.637   
18.0148   287.979   
18.6153   285.239   
19.2157   283.625   
19.8162   282.706   
20.4167   281.825   
21.0172   281.023   
21.6177   280.647   
22.2182   280.313   
22.8187   279.669   
23.4192   279.067   
24.0197   278.689   
24.6202   278.298   
25.2207   277.579   
25.8212   276.461   
26.4216   275.07    
27.0221   273.55    
27.6226   271.984   
28.2231   270.413   
28.8236   268.86    
29.4241   267.417   
30.0246   266.448   
30.6251   266.953   
31.2256   269.116   
31.8261   270.016   
32.4266   269.449   
33.0271   268.453   
33.6276   267.465   
34.228    266.64    
34.8285   266.135   
35.429    266.322   
36.0295   267.681   
36.63     269.638   
37.2305   270.686   
37.831    270.652   
38.4315   270.076   
39.032    269.286   
39.6325   268.401   
40.233    267.464   
40.8335   266.527   
41.4339   265.689   
42.0344   265.075   
42.6349   264.744   
43.2354   264.637   
43.8359   264.732   
44.4364   265.128   
45.0369   265.624   
45.6374   265.658   
46.2379   265.181   
46.8384   265.352   
47.4389   267.99    
48.0394   270.629   
48.6399   270.638   
49.2403   269.705   
49.8408   268.867   
50.4413   268.046   
51.0418   266.895   
51.6423   265.361   
52.2428   263.604   
52.8433   261.779   
53.4438   259.975   
54.0443   258.23    
54.6448   256.553   
55.2453   254.942   
55.8458   253.39    
56.4462   251.891   
57.0467   250.439   
57.6472   249.029   
58.2477   247.655   
58.8482   246.315   
59.4487   245.005   
