#r        v         
0         0         
0.600492  33.3981   
1.20098   63.5965   
1.80148   91.3199   
2.40197   115.885   
3.00246   134.411   
3.60295   148.314   
4.20344   163.358   
4.80394   177.018   
5.40443   184.319   
6.00492   188.751   
6.60541   193.385   
7.2059    196.615   
7.8064    202.806   
8.40689   214.653   
9.00738   225.413   
9.60787   234.787   
10.2084   245.602   
10.8089   256.798   
11.4093   265.244   
12.0098   272.554   
12.6103   279.264   
13.2108   287.866   
13.8113   295.221   
14.4118   297.662   
15.0123   297.13    
15.6128   295.28    
16.2133   292.567   
16.8138   289.625   
17.4143   287.164   
18.0148   285.941   
18.6153   285.617   
19.2157   285.707   
19.8162   285.041   
20.4167   283.86    
21.0172   282.74    
21.6177   282.206   
22.2182   281.987   
22.8187   281.523   
23.4192   281.065   
24.0197   280.513   
24.6202   279.777   
25.2207   279.151   
25.8212   278.74    
26.4216   278.198   
27.0221   277.357   
27.6226   276.347   
28.2231   275.286   
28.8236   274.235   
29.4241   273.243   
30.0246   272.385   
30.6251   271.766   
31.2256   271.467   
31.8261   271.392   
32.4266   271.279   
33.0271   270.956   
33.6276   270.437   
34.228    269.833   
34.8285   269.305   
35.429    269.11    
36.0295   269.546   
36.63     270.426   
37.2305   271.063   
37.831    271.279   
38.4315   271.208   
39.032    270.952   
39.6325   270.571   
40.233    270.108   
40.8335   269.597   
41.4339   269.062   
42.0344   268.518   
42.6349   268.001   
43.2354   267.56    
43.8359   267.177   
44.4364   266.738   
45.0369   266.153   
45.6374   265.452   
46.2379   264.805   
46.8384   264.717   
47.4389   265.967   
48.0394   267.489   
48.6399   268.093   
49.2403   268.361   
49.8408   268.438   
50.4413   268.104   
51.0418   267.241   
51.6423   265.956   
52.2428   264.435   
52.8433   262.821   
53.4438   261.195   
54.0443   259.593   
54.6448   258.031   
55.2453   256.51    
55.8458   255.029   
56.4462   253.587   
57.0467   252.178   
57.6472   250.801   
58.2477   249.453   
58.8482   248.131   
59.4487   246.834   
