#r        v         
0         0         
0.600492  30.4546   
1.20098   59.3121   
1.80148   86.4924   
2.40197   111.434   
3.00246   132.854   
3.60295   148.522   
4.20344   160.591   
4.80394   174.131   
5.40443   187.962   
6.00492   196.004   
6.60541   199.835   
7.2059    200.784   
7.8064    201.739   
8.40689   204.847   
9.00738   212.323   
9.60787   224.527   
10.2084   239.164   
10.8089   253.153   
11.4093   265.29    
12.0098   274.918   
12.6103   282.34    
13.2108   289.016   
13.8113   295.882   
14.4118   301.555   
15.0123   303.251   
15.6128   302.097   
16.2133   299.277   
16.8138   295.805   
17.4143   292.618   
18.0148   290.614   
18.6153   289.548   
19.2157   288.974   
19.8162   287.747   
20.4167   286.106   
21.0172   284.608   
21.6177   283.76    
22.2182   283.285   
22.8187   282.614   
23.4192   281.988   
24.0197   281.3     
24.6202   280.453   
25.2207   279.735   
25.8212   279.246   
26.4216   278.64    
27.0221   277.747   
27.6226   276.692   
28.2231   275.593   
28.8236   274.51    
29.4241   273.489   
30.0246   272.606   
30.6251   271.966   
31.2256   271.648   
31.8261   271.556   
32.4266   271.429   
33.0271   271.093   
33.6276   270.563   
34.228    269.948   
34.8285   269.412   
35.429    269.208   
36.0295   269.637   
36.63     270.51    
37.2305   271.142   
37.831    271.352   
38.4315   271.277   
39.032    271.017   
39.6325   270.631   
40.233    270.164   
40.8335   269.651   
41.4339   269.112   
42.0344   268.565   
42.6349   268.045   
43.2354   267.602   
43.8359   267.217   
44.4364   266.776   
45.0369   266.19    
45.6374   265.486   
46.2379   264.838   
46.8384   264.748   
47.4389   265.997   
48.0394   267.517   
48.6399   268.12    
49.2403   268.386   
49.8408   268.462   
50.4413   268.126   
51.0418   267.262   
51.6423   265.977   
52.2428   264.455   
52.8433   262.84    
53.4438   261.213   
54.0443   259.611   
54.6448   258.047   
55.2453   256.526   
55.8458   255.045   
56.4462   253.602   
57.0467   252.193   
57.6472   250.815   
58.2477   249.466   
58.8482   248.144   
59.4487   246.847   
