#r        v         
0         0         
0.600492  36.8719   
1.20098   67.4164   
1.80148   91.8882   
2.40197   112.484   
3.00246   130.094   
3.60295   147.865   
4.20344   161.342   
4.80394   170.702   
5.40443   178.401   
6.00492   185.359   
6.60541   192.701   
7.2059    198.053   
7.8064    203.68    
8.40689   212.433   
9.00738   223.703   
9.60787   234.177   
10.2084   245.858   
10.8089   256.811   
11.4093   265.665   
12.0098   273.061   
12.6103   281.51    
13.2108   287.911   
13.8113   291.559   
14.4118   291.453   
15.0123   289.728   
15.6128   287.616   
16.2133   285.428   
16.8138   283.833   
17.4143   283.457   
18.0148   285.117   
18.6153   287.563   
19.2157   288.111   
19.8162   287.284   
20.4167   285.78    
21.0172   284.333   
21.6177   283.514   
22.2182   283.06    
22.8187   282.405   
23.4192   281.788   
24.0197   281.105   
24.6202   280.263   
25.2207   279.552   
25.8212   279.07    
26.4216   278.47    
27.0221   277.582   
27.6226   276.533   
28.2231   275.44    
28.8236   274.363   
29.4241   273.348   
30.0246   272.471   
30.6251   271.837   
31.2256   271.524   
31.8261   271.437   
32.4266   271.315   
33.0271   270.984   
33.6276   270.458   
34.228    269.848   
34.8285   269.315   
35.429    269.114   
36.0295   269.547   
36.63     270.423   
37.2305   271.057   
37.831    271.27    
38.4315   271.197   
39.032    270.939   
39.6325   270.556   
40.233    270.091   
40.8335   269.58    
41.4339   269.044   
42.0344   268.499   
42.6349   267.981   
43.2354   267.539   
43.8359   267.156   
44.4364   266.717   
45.0369   266.132   
45.6374   265.43    
46.2379   264.783   
46.8384   264.694   
47.4389   265.944   
48.0394   267.466   
48.6399   268.071   
49.2403   268.339   
49.8408   268.417   
50.4413   268.082   
51.0418   267.22    
51.6423   265.936   
52.2428   264.415   
52.8433   262.801   
53.4438   261.175   
54.0443   259.574   
54.6448   258.011   
55.2453   256.491   
55.8458   255.011   
56.4462   253.568   
57.0467   252.16    
57.6472   250.783   
58.2477   249.435   
58.8482   248.113   
59.4487   246.817   
