#r        v         
0         0         
0.600492  41.3508   
1.20098   70.6893   
1.80148   96.0439   
2.40197   119.23    
3.00246   136.753   
3.60295   149.169   
4.20344   159.946   
4.80394   172.321   
5.40443   186.982   
6.00492   198.781   
6.60541   210.105   
7.2059    216.448   
7.8064    219.601   
8.40689   221.064   
9.00738   222.371   
9.60787   225.395   
10.2084   231.059   
10.8089   236.807   
11.4093   241.074   
12.0098   246.852   
12.6103   252.151   
13.2108   256.143   
13.8113   260.762   
14.4118   265.721   
15.0123   271.424   
15.6128   279.485   
16.2133   288.496   
16.8138   293.36    
17.4143   296.527   
18.0148   299.714   
18.6153   303.108   
19.2157   303.591   
19.8162   301.398   
20.4167   298.038   
21.0172   294.714   
21.6177   292.207   
22.2182   290.326   
22.8187   288.504   
23.4192   286.936   
24.0197   285.476   
24.6202   284.001   
25.2207   282.767   
25.8212   281.849   
26.4216   280.886   
27.0221   279.695   
27.6226   278.391   
28.2231   277.082   
28.8236   275.818   
29.4241   274.644   
30.0246   273.627   
30.6251   272.871   
31.2256   272.451   
31.8261   272.27    
32.4266   272.065   
33.0271   271.661   
33.6276   271.071   
34.228    270.404   
34.8285   269.82    
35.429    269.574   
36.0295   269.964   
36.63     270.801   
37.2305   271.401   
37.831    271.584   
38.4315   271.483   
39.032    271.2     
39.6325   270.795   
40.233    270.311   
40.8335   269.781   
41.4339   269.229   
42.0344   268.669   
42.6349   268.137   
43.2354   267.683   
43.8359   267.288   
44.4364   266.837   
45.0369   266.242   
45.6374   265.531   
46.2379   264.875   
46.8384   264.779   
47.4389   266.021   
48.0394   267.535   
48.6399   268.134   
49.2403   268.397   
49.8408   268.469   
50.4413   268.13    
51.0418   267.264   
51.6423   265.975   
52.2428   264.451   
52.8433   262.834   
53.4438   261.205   
54.0443   259.601   
54.6448   258.035   
55.2453   256.512   
55.8458   255.029   
56.4462   253.584   
57.0467   252.174   
57.6472   250.795   
58.2477   249.445   
58.8482   248.122   
59.4487   246.823   
