#r        v         
0         0         
0.600492  33.9442   
1.20098   64.3099   
1.80148   91.7416   
2.40197   115.901   
3.00246   133.895   
3.60295   147.54    
4.20344   163.146   
4.80394   176.963   
5.40443   184.178   
6.00492   188.914   
6.60541   193.791   
7.2059    197.908   
7.8064    205.333   
8.40689   216.687   
9.00738   226.02    
9.60787   234.75    
10.2084   245       
10.8089   256.312   
11.4093   264.429   
12.0098   271.356   
12.6103   277.975   
13.2108   286.128   
13.8113   293.117   
14.4118   295.818   
15.0123   295.768   
15.6128   294.306   
16.2133   291.833   
16.8138   289.032   
17.4143   286.665   
18.0148   285.516   
18.6153   285.257   
19.2157   285.406   
19.8162   284.791   
20.4167   283.652   
21.0172   282.568   
21.6177   282.063   
22.2182   281.869   
22.8187   281.425   
23.4192   280.982   
24.0197   280.442   
24.6202   279.717   
25.2207   279.099   
25.8212   278.695   
26.4216   278.158   
27.0221   277.322   
27.6226   276.316   
28.2231   275.259   
28.8236   274.211   
29.4241   273.221   
30.0246   272.365   
30.6251   271.748   
31.2256   271.45    
31.8261   271.377   
32.4266   271.266   
33.0271   270.944   
33.6276   270.426   
34.228    269.822   
34.8285   269.295   
35.429    269.1     
36.0295   269.537   
36.63     270.418   
37.2305   271.056   
37.831    271.272   
38.4315   271.201   
39.032    270.946   
39.6325   270.565   
40.233    270.102   
40.8335   269.592   
41.4339   269.057   
42.0344   268.513   
42.6349   267.996   
43.2354   267.555   
43.8359   267.173   
44.4364   266.734   
45.0369   266.149   
45.6374   265.448   
46.2379   264.801   
46.8384   264.713   
47.4389   265.964   
48.0394   267.485   
48.6399   268.09    
49.2403   268.358   
49.8408   268.435   
50.4413   268.101   
51.0418   267.238   
51.6423   265.953   
52.2428   264.433   
52.8433   262.819   
53.4438   261.192   
54.0443   259.591   
54.6448   258.028   
55.2453   256.508   
55.8458   255.027   
56.4462   253.585   
57.0467   252.176   
57.6472   250.799   
58.2477   249.451   
58.8482   248.129   
59.4487   246.833   
