#r        v         
0         0         
0.600492  37.319    
1.20098   66.69     
1.80148   91.2658   
2.40197   109.78    
3.00246   125.12    
3.60295   138.496   
4.20344   152.338   
4.80394   166.62    
5.40443   178.147   
6.00492   188.673   
6.60541   198.231   
7.2059    206.944   
7.8064    217.163   
8.40689   227.196   
9.00738   234.138   
9.60787   238.084   
10.2084   241.208   
10.8089   244.64    
11.4093   251.571   
12.0098   262.209   
12.6103   277.289   
13.2108   291.524   
13.8113   299.612   
14.4118   301.661   
15.0123   300.623   
15.6128   298.49    
16.2133   295.769   
16.8138   292.981   
17.4143   290.695   
18.0148   289.564   
18.6153   289.217   
19.2157   289.18    
19.8162   288.329   
20.4167   286.934   
21.0172   285.587   
21.6177   284.818   
22.2182   284.371   
22.8187   283.697   
23.4192   283.046   
24.0197   282.318   
24.6202   281.424   
25.2207   280.653   
25.8212   280.109   
26.4216   279.448   
27.0221   278.501   
27.6226   277.395   
28.2231   276.249   
28.8236   275.119   
29.4241   274.056   
30.0246   273.132   
30.6251   272.454   
31.2256   272.099   
31.8261   271.973   
32.4266   271.815   
33.0271   271.451   
33.6276   270.894   
34.228    270.256   
34.8285   269.698   
35.429    269.473   
36.0295   269.882   
36.63     270.737   
37.2305   271.351   
37.831    271.547   
38.4315   271.457   
39.032    271.184   
39.6325   270.787   
40.233    270.31    
40.8335   269.786   
41.4339   269.238   
42.0344   268.683   
42.6349   268.155   
43.2354   267.704   
43.8359   267.312   
44.4364   266.864   
45.0369   266.272   
45.6374   265.563   
46.2379   264.91    
46.8384   264.815   
47.4389   266.058   
48.0394   267.574   
48.6399   268.173   
49.2403   268.435   
49.8408   268.508   
50.4413   268.169   
51.0418   267.302   
51.6423   266.014   
52.2428   264.49    
52.8433   262.873   
53.4438   261.244   
54.0443   259.639   
54.6448   258.074   
55.2453   256.551   
55.8458   255.068   
56.4462   253.623   
57.0467   252.213   
57.6472   250.833   
58.2477   249.483   
58.8482   248.16    
59.4487   246.861   
