#r        v         
0         0         
0.600492  40.1108   
1.20098   70.0499   
1.80148   94.1659   
2.40197   113.893   
3.00246   130.602   
3.60295   144.746   
4.20344   157.672   
4.80394   174.333   
5.40443   184.552   
6.00492   191.06    
6.60541   199.313   
7.2059    206.958   
7.8064    212.201   
8.40689   217.714   
9.00738   224.492   
9.60787   233.364   
10.2084   240.51    
10.8089   243.812   
11.4093   245.938   
12.0098   248.074   
12.6103   250.263   
13.2108   257.197   
13.8113   273.176   
14.4118   290.95    
15.0123   304.246   
15.6128   309.847   
16.2133   310.456   
16.8138   308.061   
17.4143   304.632   
18.0148   301.756   
18.6153   299.583   
19.2157   297.847   
19.8162   295.543   
20.4167   292.941   
21.0172   290.591   
21.6177   288.986   
22.2182   287.848   
22.8187   286.61    
23.4192   285.495   
24.0197   284.385   
24.6202   283.176   
25.2207   282.142   
25.8212   281.378   
26.4216   280.534   
27.0221   279.434   
27.6226   278.2     
28.2231   276.945   
28.8236   275.723   
29.4241   274.581   
30.0246   273.59    
30.6251   272.854   
31.2256   272.449   
31.8261   272.28    
32.4266   272.084   
33.0271   271.687   
33.6276   271.103   
34.228    270.44    
34.8285   269.86    
35.429    269.616   
36.0295   270.008   
36.63     270.847   
37.2305   271.448   
37.831    271.631   
38.4315   271.531   
39.032    271.249   
39.6325   270.843   
40.233    270.359   
40.8335   269.828   
41.4339   269.275   
42.0344   268.715   
42.6349   268.182   
43.2354   267.727   
43.8359   267.332   
44.4364   266.88    
45.0369   266.285   
45.6374   265.573   
46.2379   264.917   
46.8384   264.819   
47.4389   266.06    
48.0394   267.574   
48.6399   268.172   
49.2403   268.433   
49.8408   268.505   
50.4413   268.165   
51.0418   267.297   
51.6423   266.008   
52.2428   264.483   
52.8433   262.865   
53.4438   261.236   
54.0443   259.631   
54.6448   258.065   
55.2453   256.541   
55.8458   255.058   
56.4462   253.613   
57.0467   252.202   
57.6472   250.822   
58.2477   249.472   
58.8482   248.148   
59.4487   246.849   
