#r        v         
0         0         
0.600492  34.4079   
1.20098   63.6864   
1.80148   88.2282   
2.40197   107.83    
3.00246   123.594   
3.60295   137.263   
4.20344   153.345   
4.80394   169.036   
5.40443   184.436   
6.00492   195.319   
6.60541   206.281   
7.2059    218.24    
7.8064    223.475   
8.40689   225.579   
9.00738   227.273   
9.60787   230.876   
10.2084   237.991   
10.8089   245.772   
11.4093   254.679   
12.0098   268.679   
12.6103   281.16    
13.2108   289.237   
13.8113   293.828   
14.4118   294.809   
15.0123   294.212   
15.6128   293.591   
16.2133   292.592   
16.8138   291.888   
17.4143   291.799   
18.0148   290.888   
18.6153   290.209   
19.2157   289.769   
19.8162   288.588   
20.4167   286.948   
21.0172   285.43    
21.6177   284.553   
22.2182   284.041   
22.8187   283.331   
23.4192   282.664   
24.0197   281.935   
24.6202   281.048   
25.2207   280.291   
25.8212   279.765   
26.4216   279.124   
27.0221   278.198   
27.6226   277.112   
28.2231   275.985   
28.8236   274.875   
29.4241   273.83    
30.0246   272.923   
30.6251   272.261   
31.2256   271.922   
31.8261   271.81    
32.4266   271.666   
33.0271   271.313   
33.6276   270.768   
34.228    270.14    
34.8285   269.59    
35.429    269.374   
36.0295   269.792   
36.63     270.654   
37.2305   271.275   
37.831    271.477   
38.4315   271.393   
39.032    271.126   
39.6325   270.733   
40.233    270.26    
40.8335   269.74    
41.4339   269.196   
42.0344   268.644   
42.6349   268.119   
43.2354   267.671   
43.8359   267.282   
44.4364   266.837   
45.0369   266.247   
45.6374   265.54    
46.2379   264.889   
46.8384   264.796   
47.4389   266.041   
48.0394   267.558   
48.6399   268.158   
49.2403   268.423   
49.8408   268.496   
50.4413   268.158   
51.0418   267.293   
51.6423   266.005   
52.2428   264.482   
52.8433   262.866   
53.4438   261.237   
54.0443   259.634   
54.6448   258.069   
55.2453   256.546   
55.8458   255.064   
56.4462   253.62    
57.0467   252.21    
57.6472   250.831   
58.2477   249.481   
58.8482   248.158   
59.4487   246.86    
