#r        v         
0         0         
0.600492  32.8575   
1.20098   62.8454   
1.80148   90.6465   
2.40197   115.791   
3.00246   134.849   
3.60295   149.133   
4.20344   163.739   
4.80394   176.941   
5.40443   184.549   
6.00492   188.796   
6.60541   192.763   
7.2059    195.475   
7.8064    200.858   
8.40689   211.655   
9.00738   223.932   
9.60787   234.61    
10.2084   245.553   
10.8089   256.348   
11.4093   265.659   
12.0098   273.47    
12.6103   280.517   
13.2108   289.172   
13.8113   297.749   
14.4118   299.857   
15.0123   298.874   
15.6128   296.584   
16.2133   293.546   
16.8138   290.386   
17.4143   287.776   
18.0148   286.443   
18.6153   286.034   
19.2157   286.052   
19.8162   285.327   
20.4167   284.097   
21.0172   282.938   
21.6177   282.37    
22.2182   282.124   
22.8187   281.638   
23.4192   281.162   
24.0197   280.595   
24.6202   279.848   
25.2207   279.212   
25.8212   278.793   
26.4216   278.244   
27.0221   277.398   
27.6226   276.383   
28.2231   275.318   
28.8236   274.264   
29.4241   273.269   
30.0246   272.408   
30.6251   271.787   
31.2256   271.485   
31.8261   271.408   
32.4266   271.295   
33.0271   270.97    
33.6276   270.45    
34.228    269.845   
34.8285   269.316   
35.429    269.12    
36.0295   269.555   
36.63     270.434   
37.2305   271.071   
37.831    271.287   
38.4315   271.216   
39.032    270.959   
39.6325   270.578   
40.233    270.114   
40.8335   269.603   
41.4339   269.068   
42.0344   268.523   
42.6349   268.006   
43.2354   267.564   
43.8359   267.182   
44.4364   266.742   
45.0369   266.157   
45.6374   265.456   
46.2379   264.809   
46.8384   264.72    
47.4389   265.97    
48.0394   267.492   
48.6399   268.096   
49.2403   268.364   
49.8408   268.441   
50.4413   268.106   
51.0418   267.243   
51.6423   265.959   
52.2428   264.437   
52.8433   262.823   
53.4438   261.197   
54.0443   259.595   
54.6448   258.033   
55.2453   256.512   
55.8458   255.031   
56.4462   253.589   
57.0467   252.18    
57.6472   250.803   
58.2477   249.455   
58.8482   248.133   
59.4487   246.836   
