#r        v         
0         5.37421   
0.230189  18.3172   
0.460377  36.5028   
0.690566  52.194    
0.920754  70.2993   
1.15094   85.1549   
1.38113   100.643   
1.61132   114.25    
1.84151   124.499   
2.0717    133.74    
2.30189   144.913   
2.53207   155.453   
2.76226   164.206   
2.99245   172.545   
3.22264   178.885   
3.45283   184.755   
3.68302   190.191   
3.91321   195.643   
4.14339   201.375   
4.37358   206.315   
4.60377   210.242   
4.83396   214.497   
5.06415   218.495   
5.29434   222.047   
5.52453   224.87    
5.75472   228.215   
5.9849    231.3     
6.21509   233.844   
6.44528   237.411   
6.67547   239.976   
6.90566   243.317   
7.13585   246.032   
7.36604   247.512   
7.59622   250.637   
7.82641   253.798   
8.0566    255.662   
8.28679   257.434   
8.51698   259.351   
8.74717   261.426   
8.97736   264.5     
9.20754   266.485   
9.43773   268.3     
9.66792   270.913   
9.89811   273.607   
10.1283   276.111   
10.3585   278.79    
10.5887   279.837   
10.8189   282.367   
11.0491   285.674   
11.2792   286.26    
11.5094   288.134   
11.7396   289.762   
11.9698   292.513   
12.2      292.094   
12.4302   294.671   
12.6604   297.988   
12.8906   298.805   
13.1208   299.92    
13.3509   301.039   
13.5811   302.524   
13.8113   302.893   
14.0415   305.005   
14.2717   306.376   
14.5019   308.529   
14.7321   311.501   
14.9623   310.431   
15.1924   314.012   
15.4226   314.629   
15.6528   315.184   
15.883    316.994   
16.1132   319.309   
16.3434   319.469   
16.5736   320.245   
16.8038   321.698   
17.034    323.72    
17.2641   322.841   
17.4943   323.714   
17.7245   325.88    
17.9547   326.396   
18.1849   325.825   
18.4151   328.71    
18.6453   329.321   
18.8755   331.205   
19.1057   329.902   
19.3358   331.815   
19.566    334.686   
19.7962   333.643   
20.0264   333.984   
20.2566   336.271   
20.4868   336.347   
20.717    335.9     
20.9472   336.88    
21.1774   336.801   
21.4075   337.227   
21.6377   339.06    
21.8679   340.282   
22.0981   337.847   
22.3283   342.663   
22.5585   341.441   
22.7887   342.525   
23.0189   325.126   
23.249    326.36    
23.4792   325.968   
23.7094   327.875   
23.9396   330.288   
24.1698   327.786   
24.4      324.893   
24.6302   324.243   
24.8604   329.064   
25.0906   328.144   
25.3207   325.453   
25.5509   331.205   
25.7811   331.161   
26.0113   327.218   
26.2415   329.733   
26.4717   327.341   
26.7019   329.282   
26.9321   327.379   
27.1623   325.738   
27.3924   327.272   
27.6226   326.987   
27.8528   327.287   
28.083    329.438   
28.3132   330.793   
28.5434   328.748   
28.7736   328.863   
29.0038   327.614   
29.234    329.581   
29.4641   326.635   
29.6943   331.081   
29.9245   330.886   
30.1547   326.99    
30.3849   326.78    
30.6151   330.123   
30.8453   331.481   
31.0755   327.555   
31.3056   330.994   
31.5358   328.813   
31.766    330.712   
31.9962   331.676   
32.2264   330.327   
32.4566   329.668   
32.6868   331.182   
32.917    329.484   
33.1472   330.823   
33.3773   331.966   
33.6075   329.513   
33.8377   333.836   
34.0679   330.437   
34.2981   331.439   
34.5283   332.583   
34.7585   333.859   
34.9887   333.544   
35.2189   332.252   
35.449    334.914   
35.6792   331.094   
35.9094   330.212   
36.1396   333.933   
