#r        v         
0         0         
0.600492  36.7656   
1.20098   66.0062   
1.80148   90.6515   
2.40197   109.526   
3.00246   124.858   
3.60295   138.241   
4.20344   152.277   
4.80394   166.386   
5.40443   178.566   
6.00492   190.996   
6.60541   200.91    
7.2059    209.655   
7.8064    219.748   
8.40689   227.768   
9.00738   232.588   
9.60787   235.589   
10.2084   238.963   
10.8089   243.779   
11.4093   251.35    
12.0098   263.095   
12.6103   279.347   
13.2108   292.45    
13.8113   299.605   
14.4118   301.004   
15.0123   299.673   
15.6128   297.48    
16.2133   294.851   
16.8138   292.243   
17.4143   290.156   
18.0148   289.178   
18.6153   288.919   
19.2157   288.928   
19.8162   288.102   
20.4167   286.723   
21.0172   285.389   
21.6177   284.634   
22.2182   284.201   
22.8187   283.54    
23.4192   282.901   
24.0197   282.186   
24.6202   281.303   
25.2207   280.543   
25.8212   280.009   
26.4216   279.358   
27.0221   278.419   
27.6226   277.321   
28.2231   276.181   
28.8236   275.058   
29.4241   274       
30.0246   273.082   
30.6251   272.408   
31.2256   272.058   
31.8261   271.936   
32.4266   271.781   
33.0271   271.42    
33.6276   270.866   
34.228    270.231   
34.8285   269.674   
35.429    269.452   
36.0295   269.863   
36.63     270.719   
37.2305   271.336   
37.831    271.533   
38.4315   271.444   
39.032    271.172   
39.6325   270.777   
40.233    270.3     
40.8335   269.777   
41.4339   269.23    
42.0344   268.676   
42.6349   268.148   
43.2354   267.698   
43.8359   267.307   
44.4364   266.859   
45.0369   266.268   
45.6374   265.559   
46.2379   264.906   
46.8384   264.812   
47.4389   266.055   
48.0394   267.571   
48.6399   268.17    
49.2403   268.433   
49.8408   268.506   
50.4413   268.167   
51.0418   267.301   
51.6423   266.013   
52.2428   264.489   
52.8433   262.872   
53.4438   261.243   
54.0443   259.639   
54.6448   258.074   
55.2453   256.55    
55.8458   255.068   
56.4462   253.623   
57.0467   252.213   
57.6472   250.834   
58.2477   249.483   
58.8482   248.16    
59.4487   246.861   
